ID,Author,Title,Place,Publisher,begin,end,Form,"Link (Trove, Digitised Pamphlet etc.)",Word Count,Place,PlaceNoState,Latitiude,Longitude
737,Unknown,The Rainhill Victim.,"Adelaide, SA",The Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/25324708,N/A,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
736,Unknown,THE WINDSOR TRAGEDY.,"Armidale, NSW",The Armidale Express and New England General Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/189974364,721,"Armidale, NSW",Armidale,-30.5054839,151.6732961
735,Unknown,THE WINDSOR MURDER.,"Adelaide, SA",The Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/25324710,538,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
734,Unknown,Advertising,"Melbourne, VIC",The Herald,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/242873888,5648,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
733,Unknown,THE WINDSOR MURDERS.,"Dubbo, NSW",Dubbo Dispatch and Wellington Independent,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/226757099,1522,"Dubbo, NSW",Dubbo,-32.24808711,148.6008275
732,Unknown,MORE ABOUT LIFE IN THE TRANSVAAL.,"Sydney, NSW",The Daily Telegraph,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/236059407,192,"Sydney, NSW",Sydney,-33.87041555,151.2408677
731,Unknown,INTERCOLONIAL.,"Armidale, NSW",The Armidale Express and New England General Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/189974368,275,"Armidale, NSW",Armidale,-30.5054839,151.6732961
730,Unknown,WILLIAMS IN SOUTH AFRICA.,"Melbourne, VIC",The Age,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/197005015,549,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
729,Unknown,Inquest on the Rainhill Victims.,"Granville, NSW",The Weekly Advance,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/240072546,853,"Granville, NSW",Granville,-33.83591621,151.0073001
728,Unknown,SWANSTON ALIAS WARD.,"Adelaide, SA",South Australian Register,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/48227643,N/A,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
727,Unknown,THE WINDSOR TRAGEDY,"Sydney, NSW",The Daily Telegraph,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/236059408,394,"Sydney, NSW",Sydney,-33.87041555,151.2408677
726,Unknown,THE WINDSOR MURDERER.,"Bendigo, VIC",Bendigo Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/89016658,702,"Bendigo, VIC",Bendigo,-36.75951599,144.2790369
725,Unknown,THE WINDSOR TRAGEDY.,"Sydney, NSW",The Sydney Morning Herald,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/28268444,N/A,"Sydney, NSW",Sydney,-33.87041555,151.2408677
724,Unknown,THE WINDSOR MURDERER.,"Brisbane, QLD",The Brisbane Courier,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3539756,N/A,"Brisbane, QLD",Brisbane,-27.44979033,153.0554909
723,Unknown,THREE MORE OF DEEMING'S MURDERS.,"Bendigo, VIC",The Bendigo Independent,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/17451730,1453,"Bendigo, VIC",Bendigo,-36.75951599,144.2790369
722,Unknown,The Murders at Windsor and Rainhill.,"Zeehan, TAS",Zeehan and Dundas Herald,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/84677836,963,"Zeehan, TAS",Zeehan,-41.8792752,145.3300468
721,Unknown,FURTHER STARTLING DISCLOSURES.,"Bendigo, VIC",Bendigo Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/89016657,1364,"Bendigo, VIC",Bendigo,-36.75951599,144.2790369
720,Unknown,THE WINDSOR MURDER.,"Perth, WA",The West Australian,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3033917,N/A,"Perth, WA",Perth,-31.80289259,115.9542027
719,Unknown,Advertising,"Melbourne, VIC",The Age,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/197005039,10140,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
718,Unknown,Williams’s South African Career.,"Adelaide, SA",Evening Journal,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/204475481,546,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
717,Unknown,DEEMING AT ROCKHAMPTON.,"Brisbane, QLD",The Week,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/182846482,947,"Brisbane, QLD",Brisbane,-27.44979033,153.0554909
716,Unknown,THE WINDSOR AND RAIN-HILL TRAGEDIES.,"Adelaide, SA",The Pictorial Australian,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/230506762,8013,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
715,Unknown,THE FLEETING HOUR.,"Mount Barker, SA",The Mount Barker Courier and Onkaparinga and Gumeracha Advertiser,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/147622414,1618,"Mount Barker, SA",Mount Barker,-35.06639465,138.8609345
714,Unknown,DEEMING AT JOHANNESBURG.,"Echuca, VIC",The Riverine Herald,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/114697268,449,"Echuca, VIC",Echuca,-36.13173993,144.7541626
8,Unknown,"THE WINDSOR AND RAINHILL
MURDERS.","Horsham, VIC",The Horsham Times,01/04/1892,02/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/72853156,3061,"Horsham, VIC",Horsham,-36.70971496,142.2025662
10,Unknown,FREDERICK BAILEY DEEMING. HIS LIFE AND HIS CRIMES. FROM THE CRADLE TO THE GALLOWS. A CRIMINAL OCTOPUS. THE SEVEN AGES OF A MURDERER. IN HIS TIME HE HAS PLAYED MANY PARTS. NO III.,"Bathurst, NSW",National Advocate,01/06/1892,02/06/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/156660539,,"Bathurst, NSW",Bathurst,-33.41482167,149.5778372
9,Unknown,SENSATIONAL STATEMENTS REGARDING DEEMING.,"Kempsey, NSW",Macleay Argus,01/06/1892,02/06/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/234194656,,"Kempsey, NSW",Kempsey,-31.0814595,152.8342319
43,Unknown,The Prisoner Deeming,"Camperdown, VIC",Camperdown Chronicle,10/05/1892,11/05/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/18601927,,"Camperdown, VIC",Camperdown,-38.23406767,143.1473095
42,Unknown,Deeming makes confession,"Hobart, TAS",The Mercury,10/05/1892,11/05/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/12741256,,"Hobart, TAS",Hobart,-42.88049268,147.3193518
44,Unknown,FREDERICK BAILEY DEEMING. HIS LIFE AND HIS CRIMES. FROM THE CRADLE TO THE GALLOWS. A CRIMINAL OCTOPUS. THE SEVEN AGES OF A MURDERER. IN HIS TIME HE HAS PLAYED MANY PARTS. NO X. ,"Bathurst, NSW",National Advocate,10/06/1892,11/06/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/156653139,,"Bathurst, NSW",Bathurst,-33.41482167,149.5778372
45,Unknown,A Reminiscence of Deeming,"Sydney, NSW",The Sydney Morning Herald,10/09/1898,11/09/1898,Newspaper Article,https://trove.nla.gov.au/newspaper/article/14176416,,"Sydney, NSW",Sydney,-33.87041555,151.2408677
1028,Unknown,OUR MELBOURNE LETTER,"Sale, Vic",Gippsland Times,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/65308288 ,1586,"Sale, Vic",Sale,-38.1707434,147.0663944
1027,Unknown,THE WINDSOR TRAGEDY.,"Melbourne, VIC",The Age,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/197004468 ,285,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
1026,Unknown,THE WINDSOR MURDER.,"Perth, WA",The West Australian,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3034321 ,N/A,"Perth, WA",Perth,-31.80289259,115.9542027
1025,Unknown,THE WINDSOR MURDERER.,"Melbourne, VIC",The Argus,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/8411768 ,1028,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
1024,Unknown,THE RAINHILL MURDER.,"Hobart, TAS",The Mercury,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/12739788 ,N/A,"Hobart, TAS",Hobart,-42.88049268,147.3193518
1023,Unknown,Cable Messages. BRITISH AND FOREIGN.,"Zeehan, TAS",Zeehan and Dundas Herald,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/84679291 ,N/A,"Zeehan, TAS",Zeehan,-41.8792752,145.3300468
1022,Unknown,THE WINDSOR TRAGEDY.,"Sydney, NSW",The Sydney Morning Herald,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/13859838 ,N/A,"Sydney, NSW",Sydney,-33.87041555,151.2408677
1021,Unknown,THE WINDSOR MURDER.,"Broken Hill, NSW",Barrier Miner,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/44083037 ,N/A,"Broken Hill, NSW",Broken Hill,-31.94283997,141.4559217
1020,Unknown,THE RAINHILL TRAGEDY. A LONDON WARRANT FOR DEEMING.,"Perth, WA",The Daily News,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/76458273 ,85,"Perth, WA",Perth,-31.80289259,115.9542027
1019,Unknown,WINDSOR TRAGEDY. (BY SUBMARINE CABLE.) (TASMANIAN PRESS ASSOCIATION--COPYRIGHT.) DEEMING'S ARREST.,"Launceston, TAS",Launceston Examiner,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/39462096 ,48,"Launceston, TAS",Launceston,-41.43860847,147.1365488
1018,Unknown,"THE VERDICT. ""PUT IT IN YOTIR PIPE AND SMOKE IT.""","Towoomba, QLD",Darling Downs Gazette,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/170728186 ,517,"Towoomba, QLD",Towoomba,-27.54724155,151.9533803
1017,Unknown,TELEGRAMS. FOREIGN. [BY CABLE.] (FROM OUR CORRESPONDENT.) THE RAINHILL MURDERS. STATEMENT IN THE HOUSE OF COMMONS.,"Perth, WA",The West Australian,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3034295 ,N/A,"Perth, WA",Perth,-31.80289259,115.9542027
1016,Unknown,THE WINDSOR MURDER.,"Hobart, TAS",The Mercury,11/04/1892,12/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/12739824 ,N/A,"Hobart, TAS",Hobart,-42.88049268,147.3193518
47,Unknown,The Windsor Murder Trial,"Perth, WA",The West Australian,11/05/1892,12/05/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3035458,,"Perth, WA",Perth,-31.80289259,115.9542027
46,Unknown,DEEMING'S LAST DAYS.,"Adelaide, SA",South Australian Register,11/05/1892,12/05/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/48226333,,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
53,Unknown,THE WINDSOR MURDER.,"Sydney, NSW",The Sydney Morning Herald,12/03/1892,13/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/13865816,603,"Sydney, NSW",Sydney,-33.87041555,151.2408677
52,Unknown,THE MURDER AT WINDSOR.,"Melbourne, VIC",The Argus,12/03/1892,13/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/8406153,4211,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
51,Unknown,The Windsor Tragedy.,"Sydney, NSW",Evening News,12/03/1892,13/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/113757945,651,"Sydney, NSW",Sydney,-33.87041555,151.2408677
50,Unknown,A MELBOURNE MYSTERY.,"Perth, WA",The West Australian,12/03/1892,13/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3033073,N/A,"Perth, WA",Perth,-31.80289259,115.9542027
49,Unknown,WAS WILLIAMS A BIGAMIST?,"Melbourne, VIC",The Herald,12/03/1892,13/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/242863653,335,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
48,Unknown,THE WINDSOR MURDER.,"Perth, WA",The Inquirer and Commercial News,12/03/1892,13/03/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/69706793,N/A,"Perth, WA",Perth,-31.80289259,115.9542027
1041,Unknown,THE WINDSOR MURDER.,"Perth, WA",The West Australian,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3034332 ,N/A,"Perth, WA",Perth,-31.80289259,115.9542027
1040,Unknown,CURRENT CABLES.,"Hobart, TAS",The Mercury,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/12739863 ,N/A,"Hobart, TAS",Hobart,-42.88049268,147.3193518
1039,Unknown,A CRIMINAL OF THE CENTURY.,"Adelaide, SA",South Australian Register,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/48225806 ,1134,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
1038,Unknown,THE PRISONER IN GAOL.,"Adelaide, SA",The Advertiser,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/25325550 ,N/A,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
1037,Unknown,THE  WINDSOR TRAGEDY.,"Ipswich, QLD","Queensland Times, Ipswich Herald and General Advertiser",12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/123017113 ,2742,"Ipswich, QLD",Ipswich,-27.6231251,152.7598715
1036,Unknown,THE WINDSOR MURDER.,"Wagga Wagga, NSW",Wagga Wagga Express,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/145535618 ,283,"Wagga Wagga, NSW",Wagga Wagga,-35.1642806,147.375935
1035,Unknown,THE WINDSOR TRAGEDY.,"Glen Innes, NSW",Glen Innes Examiner and General Advertiser,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/217778163 ,1849,"Glen Innes, NSW",Glen Innes,-29.73755112,151.7414737
1034,Unknown,THE WINDSOR MURDERER.,"Melbourne, VIC",The Argus,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/8411890 ,,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
1033,Unknown,THE WINDSOR TRAGEDY.,"Traralgon, VIC",Traralgon Record,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/5928147 ,,"Traralgon, VIC",Traralgon,-38.19488665,146.5376936
1032,Unknown,WINDSOR MURDER.,"Hobart, TAS",The Mercury,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/12739909 ,N/A,"Hobart, TAS",Hobart,-42.88049268,147.3193518
1031,Unknown,NEWS BY CABLE. RECEIVED TO-DAY.,"Melbourne, VIC",The Herald,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/242856753 ,142,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
1030,Unknown,THE WINDSOR TRAGEDY.,"Sydney, NSW",The Sydney Morning Herald,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/13856682 ,N/A,"Sydney, NSW",Sydney,-33.87041555,151.2408677
1029,Unknown,THE WINDSOR MURDER.,"Broken Hill, NSW",Barrier Miner,12/04/1892,13/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/44081010 ,N/A,"Broken Hill, NSW",Broken Hill,-31.94283997,141.4559217
54,Unknown,Deeming and Insanity,"Adelaide, SA",The Advertiser,12/05/1892,13/05/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/25327827,,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
1059,A.B.C.,FUGUTIVE NOTES. ,"Sydney, NSW",The Sydney Morning Herald,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/13852946 ,N/A,"Sydney, NSW",Sydney,-33.87041555,151.2408677
1058,Unknown,THE RAINHILL TRAGEDY.  ,"Perth, WA",The Inquirer and Commercial News,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/69702174 ,86,"Perth, WA",Perth,-31.80289259,115.9542027
1057,Unknown,THE WINDSOR MURDER INQUEST.,"Lismore, NSW",Northern Star,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/71738519 ,1011,"Lismore, NSW",Lismore,-28.80707602,153.2861406
1056,Unknown,THE WHITECHAPEL MURDERS.   ,"Adelaide, SA",The Advertiser,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/25325656 ,N/A,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
1055,Unknown,SUMMARY OF NEWS.,"Brisbane, QLD",The Brisbane Courier,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3540280 ,N/A,"Brisbane, QLD",Brisbane,-27.44979033,153.0554909
1054,Unknown,WINDSOR TRAGEDY.  ,"Launceston, TAS",Launceston Examiner,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/39462267 ,97,"Launceston, TAS",Launceston,-41.43860847,147.1365488
1053,Unknown,THE WINDSOR MURDER.,"Perth, WA",The West Australian,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/3034384 ,N/A,"Perth, WA",Perth,-31.80289259,115.9542027
1052,Unknown,THE WINDSOR AND RAINHILL ATROCITIES.,"Geelong, VIC",Geelong Advertiser,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/149927626 ,144,"Geelong, VIC",Geelong,-38.15615697,144.3630346
1051,Unknown,ORIGINAL POETRY. WILLIAMS ALIAS DEEMING.,"Burra, SA.",The Burra Record,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/39166231 ,N/A,"Burra, SA.",Burra.,-33.66492517,138.9318363
1050,Unknown,MISS MATHER'S CLOTHES,"Adelaide, SA",The Advertiser,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/25325636 ,N/A,"Adelaide, SA",Adelaide,-34.93097859,138.6002854
1049,Unknown,THE RAINHILL MURDERS.,"Sydney, NSW",The Sydney Morning Herald,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/13853017,N/A,"Sydney, NSW",Sydney,-33.87041555,151.2408677
1048,Unknown,THE WINDSOR MURDERER.,"Melbourne, VIC",The Argus,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/8411976 ,N/A,"Melbourne, VIC",Melbourne,-37.81845472,144.9654453
1047,Unknown,LATEST NEWS BY CABLE. THE RAINHILL ATROCITIES. ,"Castlemaine, VIC",Mount Alexander Mail,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/198702601 ,121,"Castlemaine, VIC",Castlemaine,-37.06497164,144.2183674
1046,Unknown,THE WINDSOR MURDER.,"Bendigo, VIC",Bendigo Advertiser,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/89017094 ,598,"Bendigo, VIC",Bendigo,-36.75951599,144.2790369
1045,Unknown,THE WINDSOR TRAGEDY.,"Kempsey, NSW",Macleay Argus,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/234194226 ,4039,"Kempsey, NSW",Kempsey,-31.0814595,152.8342319
1044,Unknown,EUROPEAN NEWS.  ,"Portland, VIC",Portland Guardian,13/04/1892,14/04/1892,Newspaper Article,https://trove.nla.gov.au/newspaper/article/65438620 ,294,"Portland, VIC",Portland,-38.25543638,141.5753424
