placename,anps id,state,lga,parish,feature_term,latitude,longitude,source,flag,description,datestart,dateend,external_url
Tarcoola,319841,NSW,,,homestead,-32.735167,149.8948985,State Records (ANPS),,,,,
Tarcoola,320077,NSW,,,homestead,-33.542839,149.8741565,State Records (ANPS),,,,,
Tarcoola,320781,NSW,,,homestead,-34.589778,149.149776,State Records (ANPS),,,,,
Tatiara,255787,WA,,,homestead,-33.71539,121.8434,State Records (ANPS),,"Status: Official; Location: 121.8434, -33.71539",,,
Tatiara,311740,NSW,,,homestead,-36.091215,144.727604,State Records (ANPS),,,,,
Tatiara,422904,SA,The Coorong District Council,Malcolm,homestead,-35.56746769,139.3973381,State Records (ANPS),,,,,
Tatiara,452149,SA,The Barossa Council,Talunga,homestead,-34.79407387,139.0094519,State Records (ANPS),,,,,
Tatiara,452150,SA,The District Council of Tumby Bay,Stokes,homestead,-34.22050023,135.7922229,State Records (ANPS),,,,,
Toogong,72113,NSW,CABONNE,TOOGONG,trig station,-33.37055556,148.7236111,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A trig station listed in about 9 kms E by S of Tooyong cemetery and about 4 kms NE by N of Barragan (locelity).  TS4406          ,,,
Wandinong,312658,NSW,,,homestead,-35.4593545,146.37108,State Records (ANPS),,,,,
Wandinong,315627,NSW,,,homestead,-29.010897,151.660782,State Records (ANPS),,,,,
Warroo,76404,NSW,YASS,WARROO,trig station,-34.93166667,148.8594444,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,A Trig Station about 1km SE of Oak Hill and about 4.5km N of Brassil Trig Station.          ,,,
Warroo,301926,NSW,,,homestead,-29.08665,144.68424,State Records (ANPS),,,,,
Warroo,321578,NSW,,,homestead,-28.9855995,149.655679,State Records (ANPS),,,,,
Warroo,406672,SA,The District Council of Karoonda East Murray,McPherson,homestead,-34.97107,140.19178,State Records (ANPS),,,,,
Wyreema,308786,NSW,,,homestead,-34.692682,146.803498,State Records (ANPS),,,,,
Wyreema,309794,NSW,,,homestead,-34.489489,145.0005395,State Records (ANPS),,,,,
Yarrangobilly,77520,NSW,TUMUT,YARRANGOBILLY,trig station,-35.68166667,148.5177778,State Records (TLCM),Uses GDA94 Coordinates instead of WGS84,Trigonometrical station about 4.5 km north by west of Rules Point.          ,,,
