Placename,Filename,Filename.1,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio,Trove_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,snippet,url,page_url
CLIFDEN,LOCATION,18800918-8-812130 (1 of 1).txt,CLIFDEN,NSW,-29.53507422,152.9815262,100,8,DISTRICT NEWS. [FROM OUR VARIOUS CORRESPONDENTS.] WOODVILLE.,8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),4,1880-09-18,Article,742,N,2,"""The earth is born again in beauty."" We have been blessed with a most welcome fall of rain, and the hearts of man and beast are alike thankful. A bush fire broke out last Saturday week, at",https://nla.gov.au/nla.news-article812130,http://trove.nla.gov.au/newspaper/page/35282
LOGAN,LOCATION,18800923-8-812236 (1 of 1).txt,LOGAN,VIC,-36.65276695,143.45295269999997,100,8,"Queensland Stock Movements and State of the Country. (From the Queenslander, Sept. 18.) COOKTOWN. September 3.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),6,1880-09-23,Article,2246,N,2,"The weather has been very squally with light showers, seldom enough to register, but what has fallen has freshened up the grass as far as it extended (only a few miles",https://nla.gov.au/nla.news-article812236,http://trove.nla.gov.au/newspaper/page/35308
ELPHINSTONE,LOCATION,18800923-8-812236 (1 of 1).txt,ELPHINSTONE,QLD,-27.95898358,151.91160390000002,100,8,"Queensland Stock Movements and State of the Country. (From the Queenslander, Sept. 18.) COOKTOWN. September 3.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),6,1880-09-23,Article,2246,N,2,"The weather has been very squally with light showers, seldom enough to register, but what has fallen has freshened up the grass as far as it extended (only a few miles",https://nla.gov.au/nla.news-article812236,http://trove.nla.gov.au/newspaper/page/35308
TARCUTTA,LOCATION,18820114-8-846351 (2 of 2).txt,TARCUTTA,NSW,-35.226045899999995,147.7583005,100,8,"T[?]LEGRAPHIC INTELLIGENC[?]. (From the Echo, Herald, and Evening News.) COPELAND. Thursday.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),6 S,1882-01-14,Article,3964,N,2,"[Echo.]—The Rainbow Co-operative Goldmining Company has declared a dividend of £5 per share, after paying all expenses. The large reef is showing good gold. Now",https://nla.gov.au/nla.news-article846351,http://trove.nla.gov.au/newspaper/page/38530
ADELONG,LOCATION,18820114-8-846351 (2 of 2).txt,ADELONG,NSW,-35.31539443,148.0536279,100,8,"T[?]LEGRAPHIC INTELLIGENC[?]. (From the Echo, Herald, and Evening News.) COPELAND. Thursday.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),6 S,1882-01-14,Article,3964,N,2,"[Echo.]—The Rainbow Co-operative Goldmining Company has declared a dividend of £5 per share, after paying all expenses. The large reef is showing good gold. Now",https://nla.gov.au/nla.news-article846351,http://trove.nla.gov.au/newspaper/page/38530
YASS,LOCATION,18820121-8-846935 (1 of 2).txt,YASS,NSW,-34.82423811,148.9088449,100,8,"TELEGRAPHIC INTELLIGENCE. (From the [?]cho, Herald, and Evening News.) GLEN INNES. Thursday.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),3 S,1882-01-21,Article,5632,N,8,"[Echo.]—The Quarter Sessions opened on Monday and closed on Wednesday night. Doyle was sent to gaol for one month for an assault on O'Brien. Flanders v. the Council: Mr, O'Connor, instructed by Mr.",https://nla.gov.au/nla.news-article846935,http://trove.nla.gov.au/newspaper/page/38559
YASS,LOCATION,18820121-8-846935 (1 of 2).txt,YASS,NSW,-34.82423811,148.9088449,100,8,"TELEGRAPHIC INTELLIGENCE. (From the [?]cho, Herald, and Evening News.) GLEN INNES. Thursday.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),3 S,1882-01-21,Article,5632,N,8,"[Echo.]—The Quarter Sessions opened on Monday and closed on Wednesday night. Doyle was sent to gaol for one month for an assault on O'Brien. Flanders v. the Council: Mr, O'Connor, instructed by Mr.",https://nla.gov.au/nla.news-article846935,http://trove.nla.gov.au/newspaper/page/38559
BURROWA,LOCATION,18820121-8-846935 (1 of 2).txt,BURROWAY,NSW,-31.99566902,148.23514450000002,100,8,"TELEGRAPHIC INTELLIGENCE. (From the [?]cho, Herald, and Evening News.) GLEN INNES. Thursday.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),3 S,1882-01-21,Article,5632,N,8,"[Echo.]—The Quarter Sessions opened on Monday and closed on Wednesday night. Doyle was sent to gaol for one month for an assault on O'Brien. Flanders v. the Council: Mr, O'Connor, instructed by Mr.",https://nla.gov.au/nla.news-article846935,http://trove.nla.gov.au/newspaper/page/38559
BERRIMA,LOCATION,18820121-8-846935 (1 of 2).txt,BERRIMA,NSW,-34.47472967,150.330976,100,8,"TELEGRAPHIC INTELLIGENCE. (From the [?]cho, Herald, and Evening News.) GLEN INNES. Thursday.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),3 S,1882-01-21,Article,5632,N,8,"[Echo.]—The Quarter Sessions opened on Monday and closed on Wednesday night. Doyle was sent to gaol for one month for an assault on O'Brien. Flanders v. the Council: Mr, O'Connor, instructed by Mr.",https://nla.gov.au/nla.news-article846935,http://trove.nla.gov.au/newspaper/page/38559
MELBOURNE,LOCATION,18820121-8-846935 (2 of 2).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,8,"TELEGRAPHIC INTELLIGENCE. (From the [?]cho, Herald, and Evening News.) GLEN INNES. Thursday.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),3 S,1882-01-21,Article,5632,N,8,"[Echo.]—The Quarter Sessions opened on Monday and closed on Wednesday night. Doyle was sent to gaol for one month for an assault on O'Brien. Flanders v. the Council: Mr, O'Connor, instructed by Mr.",https://nla.gov.au/nla.news-article846935,http://trove.nla.gov.au/newspaper/page/38559
MELBOURNE,LOCATION,18820216-8-847865 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,8,"LATEST SPECIAL TELEGRAMS [FROM GREVILLE'S TELEGRAM COMPANY.] SYDNEY. Wednesday, received 2[?]30 afternoon.",8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),5,1882-02-16,Article,877,N,0,"Elias Laycock sails for London next Friday, per steamer Liguri[?], his object being to assist Trickett in his match with Hanlan, and, if possible, compete with Hanlan himself.",https://nla.gov.au/nla.news-article847865,http://trove.nla.gov.au/newspaper/page/38647
DEEP CREEK,LOCATION,18820919-8-858020 (1 of 1).txt,DEEP CREEK,NSW,-29.17121412,152.6504493,100,8,[?]al.,8,The Maitland Mercury and Hunter River General Advertiser (NSW : 1843 - 1893),7,1882-09-19,Article,3622,N,7,[?] v. Bir[?]mewhat [?] Thomas [?]unty of,https://nla.gov.au/nla.news-article858020,http://trove.nla.gov.au/newspaper/page/39453
ALBION,LOCATION,18240514-5-1090181 (1 of 1).txt,ALBION,QLD,-27.43019253,153.0413161,100,5,"TRIBUTARY LINES, Addressed to LIEUTENANT GOVERNOR SORELL, on his expected departure for England. VIVE VALE!",5,Hobart Town Gazette and Van Diemen's Land Advertiser (Tas. : 1821 - 1825),2,1824-05-14,Article,276,N,1,"A minstrel youth, who ne'er abased his strain To laud the guilty, or elate the vain; Who ne'er was tutor'd in the hireling's art",https://nla.gov.au/nla.news-article1090181,http://trove.nla.gov.au/newspaper/page/123354
ROCKHAMPTON,LOCATION,18650302-16-1269014 (1 of 1).txt,BROOKHAMPTON,WA,-33.640148700000005,115.9162443,91,16,TELEGRAPHIC. (FROM OUR TELEGRAPHIC CORRESPONDENTS.) ROCKHAMPTON. March 1.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-02,Article,507,N,3,"THE ball given in aid of the School of Arts, last evening, was a great success. The attendance was very large. The Clarence sailed to-day at noon.",https://nla.gov.au/nla.news-article1269014,http://trove.nla.gov.au/newspaper/page/51587
MELBOURNE,LOCATION,18650302-16-1269014 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,TELEGRAPHIC. (FROM OUR TELEGRAPHIC CORRESPONDENTS.) ROCKHAMPTON. March 1.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-02,Article,507,N,3,"THE ball given in aid of the School of Arts, last evening, was a great success. The attendance was very large. The Clarence sailed to-day at noon.",https://nla.gov.au/nla.news-article1269014,http://trove.nla.gov.au/newspaper/page/51587
MELBOURNE,LOCATION,18650309-16-1269302 (3 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
SANDHURST,LOCATION,18650309-16-1269302 (3 of 3).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
BRUNSWICK,LOCATION,18650309-16-1269302 (3 of 3).txt,BRUNSWICK,VIC,-37.77762878,144.9634138,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
MELBOURNE,LOCATION,18650309-16-1269302 (2 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
SANDHURST,LOCATION,18650309-16-1269302 (2 of 3).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
MELBOURNE,LOCATION,18650309-16-1269302 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
MELBOURNE,LOCATION,18650309-16-1269302 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
SANDHURST,LOCATION,18650309-16-1269302 (1 of 3).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,16,VICTORIA.,16,The Brisbane Courier (Qld. : 1864 - 1933),2,1865-03-09,Article,1389,N,4,WE have files from Melbourne to February 28. The Argus of that dato states:- The most oppressive weather experienced during the present summer prevailed yesterday.,https://nla.gov.au/nla.news-article1269302,http://trove.nla.gov.au/newspaper/page/51615
SANDHURST,LOCATION,18660913-16-1274163 (1 of 2).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,16,DESTRUCTION OF TIMBER.,16,The Brisbane Courier (Qld. : 1864 - 1933),3,1866-09-13,Article,1432,N,12,"IN October, 1865, the commissioners appointed to enquire into applications for land under the 42nd section of the ""Amending Land Act 1865, felt themselves compelled",https://nla.gov.au/nla.news-article1274163,http://trove.nla.gov.au/newspaper/page/54509
ARARAT,LOCATION,18660913-16-1274163 (1 of 2).txt,ARARAT,VIC,-37.30897256,142.9230965,100,16,DESTRUCTION OF TIMBER.,16,The Brisbane Courier (Qld. : 1864 - 1933),3,1866-09-13,Article,1432,N,12,"IN October, 1865, the commissioners appointed to enquire into applications for land under the 42nd section of the ""Amending Land Act 1865, felt themselves compelled",https://nla.gov.au/nla.news-article1274163,http://trove.nla.gov.au/newspaper/page/54509
BEECHWORTH,LOCATION,18660913-16-1274163 (1 of 2).txt,BEECHWORTH,VIC,-36.34129804,146.6902532,100,16,DESTRUCTION OF TIMBER.,16,The Brisbane Courier (Qld. : 1864 - 1933),3,1866-09-13,Article,1432,N,12,"IN October, 1865, the commissioners appointed to enquire into applications for land under the 42nd section of the ""Amending Land Act 1865, felt themselves compelled",https://nla.gov.au/nla.news-article1274163,http://trove.nla.gov.au/newspaper/page/54509
ROSEWOOD,LOCATION,18660913-16-1274163 (1 of 2).txt,ROSEWOOD,NSW,-31.44539437,152.6937896,100,16,DESTRUCTION OF TIMBER.,16,The Brisbane Courier (Qld. : 1864 - 1933),3,1866-09-13,Article,1432,N,12,"IN October, 1865, the commissioners appointed to enquire into applications for land under the 42nd section of the ""Amending Land Act 1865, felt themselves compelled",https://nla.gov.au/nla.news-article1274163,http://trove.nla.gov.au/newspaper/page/54509
SINGLETON,LOCATION,18651019-16-1280590 (1 of 1).txt,SINGLETON,WA,-32.44584624,115.7571718,100,16,NEW SOUTH WALES.,16,The Brisbane Courier (Qld. : 1864 - 1933),3,1865-10-19,Article,1985,N,3,"APPRAISEMENT OF RUNS IN THE MURRUMBIDGEE DISTRICT.—We learn that Mr. Augustus Morris' station, Tala, Murrumbidgee district, which paid annually £437 10s. rent and",https://nla.gov.au/nla.news-article1280590,http://trove.nla.gov.au/newspaper/page/52721
BEECHWORTH,LOCATION,18651111-16-1281975 (1 of 1).txt,BEECHWORTH,VIC,-36.34129804,146.6902532,100,16,"TORNADO AT BEECHWORTH. (From the Ovens Advertiser, October 28.)",16,The Brisbane Courier (Qld. : 1864 - 1933),6,1865-11-11,Article,1120,N,4,LAST Thursday evening Beechworth and the surrounding neighborhood; were visited by one of the most violent storms ever experienced in the Ovens district.,https://nla.gov.au/nla.news-article1281975,http://trove.nla.gov.au/newspaper/page/52850
MELBOURNE,LOCATION,18651220-16-1284241 (3 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,"NEWS AND NOTES. LXX. Saturday, December 16.",16,The Brisbane Courier (Qld. : 1864 - 1933),4,1865-12-20,Article,3405,N,0,"YOU have the telegrams of the October news, and had better make the most of them, for it would not be easy to say when you are likely to have the news itself. The",https://nla.gov.au/nla.news-article1284241,http://trove.nla.gov.au/newspaper/page/53066
MELBOURNE,LOCATION,18651220-16-1284241 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,"NEWS AND NOTES. LXX. Saturday, December 16.",16,The Brisbane Courier (Qld. : 1864 - 1933),4,1865-12-20,Article,3405,N,0,"YOU have the telegrams of the October news, and had better make the most of them, for it would not be easy to say when you are likely to have the news itself. The",https://nla.gov.au/nla.news-article1284241,http://trove.nla.gov.au/newspaper/page/53066
MELBOURNE,LOCATION,18651220-16-1284241 (2 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,16,"NEWS AND NOTES. LXX. Saturday, December 16.",16,The Brisbane Courier (Qld. : 1864 - 1933),4,1865-12-20,Article,3405,N,0,"YOU have the telegrams of the October news, and had better make the most of them, for it would not be easy to say when you are likely to have the news itself. The",https://nla.gov.au/nla.news-article1284241,http://trove.nla.gov.au/newspaper/page/53066
DULACCA,LOCATION,18700803-16-1325096 (1 of 1).txt,DULACCA,QLD,-26.77035445,149.78678159999998,100,16,ROMA. (FROM A CORRESPONDENT.) July 23.,16,The Brisbane Courier (Qld. : 1864 - 1933),3,1870-08-03,Article,473,N,0,"THE flooded state of the country, and the almost impassable state of the roads, led many to believe that no District Court would be held here during this week, but much to our surprise",https://nla.gov.au/nla.news-article1325096,http://trove.nla.gov.au/newspaper/page/526386
BLACKALL,LOCATION,18760304-16-1398178 (1 of 1).txt,BLACKALL,QLD,-24.58544995,145.40611830000003,100,16,Blackall. [FROM OUR OWN CORRESPONDENT.] February 18.,16,The Brisbane Courier (Qld. : 1864 - 1933),7,1876-03-04,Article,835,N,1,"FINE rain has fallen at Blackall and as it has the appearance of beiug a general rain, I trust it may prove to be so. The rain fell through a period of about twelve hours, at times in smart",https://nla.gov.au/nla.news-article1398178,http://trove.nla.gov.au/newspaper/page/68701
WINDSOR,LOCATION,18380201-3-2549859 (1 of 1).txt,WINDSOR,SA,-34.43202712,138.36673159999998,100,3,The Roads.,3,The Sydney Gazette and New South Wales Advertiser (NSW : 1803 - 1842),2,1838-02-01,Article,1034,N,2,THE state of the roads throughout the various districts of the interior forms a never-failing topic of complaint among the settlers and of comment in the public,https://nla.gov.au/nla.news-article2549859,http://trove.nla.gov.au/newspaper/page/693137
YORK,LOCATION,18581231-26-2931233 (1 of 1).txt,YORK,WA,-31.87259029,116.7833291,100,26,Domestic Sayings and Doings.,26,The Perth Gazette and Independent Journal of Politics and News (WA : 1848 - 1864),2,1858-12-31,Article,607,N,4,"Up to eight o'clock this morning the King George's Sound overland mail, with the English October mails, had not arrived. To Correspondents.—We cannot give",https://nla.gov.au/nla.news-article2931233,http://trove.nla.gov.au/newspaper/page/721161
BOLGART,LOCATION,18581231-26-2931233 (1 of 1).txt,BOLGART,WA,-31.28138156,116.5018182,100,26,Domestic Sayings and Doings.,26,The Perth Gazette and Independent Journal of Politics and News (WA : 1848 - 1864),2,1858-12-31,Article,607,N,4,"Up to eight o'clock this morning the King George's Sound overland mail, with the English October mails, had not arrived. To Correspondents.—We cannot give",https://nla.gov.au/nla.news-article2931233,http://trove.nla.gov.au/newspaper/page/721161
RICHMOND,LOCATION,18520218-21-2959457 (1 of 2).txt,RICHMOND,SA,-34.94201162,138.5672635,100,21,LOCAL.,21,"The Courier (Hobart, Tas. : 1840 - 1859)",3,1852-02-18,Article,2835,N,14,"GOLD IN VAN DIEMEN'S LAND.—Letters have been received in town announcing the discovery of gold within four miles of Fingal, by Jumes Grant, Esq., of Tullochgorum. The following is an extract of a letter",https://nla.gov.au/nla.news-article2959457,http://trove.nla.gov.au/newspaper/page/638182
HUON,LOCATION,18520218-21-2959457 (1 of 2).txt,HUON,VIC,-36.21994853,147.0679002,100,21,LOCAL.,21,"The Courier (Hobart, Tas. : 1840 - 1859)",3,1852-02-18,Article,2835,N,14,"GOLD IN VAN DIEMEN'S LAND.—Letters have been received in town announcing the discovery of gold within four miles of Fingal, by Jumes Grant, Esq., of Tullochgorum. The following is an extract of a letter",https://nla.gov.au/nla.news-article2959457,http://trove.nla.gov.au/newspaper/page/638182
RICHMOND,LOCATION,18520218-21-2959457 (2 of 2).txt,RICHMOND,SA,-34.94201162,138.5672635,100,21,LOCAL.,21,"The Courier (Hobart, Tas. : 1840 - 1859)",3,1852-02-18,Article,2835,N,14,"GOLD IN VAN DIEMEN'S LAND.—Letters have been received in town announcing the discovery of gold within four miles of Fingal, by Jumes Grant, Esq., of Tullochgorum. The following is an extract of a letter",https://nla.gov.au/nla.news-article2959457,http://trove.nla.gov.au/newspaper/page/638182
HUON,LOCATION,18520218-21-2959457 (2 of 2).txt,HUON,VIC,-36.21994853,147.0679002,100,21,LOCAL.,21,"The Courier (Hobart, Tas. : 1840 - 1859)",3,1852-02-18,Article,2835,N,14,"GOLD IN VAN DIEMEN'S LAND.—Letters have been received in town announcing the discovery of gold within four miles of Fingal, by Jumes Grant, Esq., of Tullochgorum. The following is an extract of a letter",https://nla.gov.au/nla.news-article2959457,http://trove.nla.gov.au/newspaper/page/638182
BRIGHTON,LOCATION,18470224-21-2972589 (3 of 3).txt,BRIGHTON,SA,-35.01643158,138.5236609,100,21,LOCAL.,21,"The Courier (Hobart, Tas. : 1840 - 1859)",3,1847-02-24,Article,1432,N,14,"THE LIEUTENANT GOVERNOR—His Excellency Sir WILLIAM DENISON left Launcaition on Saturday morning, and proceeded through Longford to Bishopsbourne, and inspected the college. His Excellency seemed most pleased",https://nla.gov.au/nla.news-article2972589,http://trove.nla.gov.au/newspaper/page/636483
BRIGHTON,LOCATION,18470224-21-2972589 (3 of 3).txt,BRIGHTON,SA,-35.01643158,138.5236609,100,21,LOCAL.,21,"The Courier (Hobart, Tas. : 1840 - 1859)",3,1847-02-24,Article,1432,N,14,"THE LIEUTENANT GOVERNOR—His Excellency Sir WILLIAM DENISON left Launcaition on Saturday morning, and proceeded through Longford to Bishopsbourne, and inspected the college. His Excellency seemed most pleased",https://nla.gov.au/nla.news-article2972589,http://trove.nla.gov.au/newspaper/page/636483
OLD BEACH,LOCATION,18470224-21-2972589 (3 of 3).txt,OLD BEACH,TAS,-42.75639878,147.27852109999998,100,21,LOCAL.,21,"The Courier (Hobart, Tas. : 1840 - 1859)",3,1847-02-24,Article,1432,N,14,"THE LIEUTENANT GOVERNOR—His Excellency Sir WILLIAM DENISON left Launcaition on Saturday morning, and proceeded through Longford to Bishopsbourne, and inspected the college. His Excellency seemed most pleased",https://nla.gov.au/nla.news-article2972589,http://trove.nla.gov.au/newspaper/page/636483
YORK,LOCATION,18750101-29-2973496 (3 of 3).txt,YORK,WA,-31.87259029,116.7833291,100,29,VASSE.,29,"The Western Australian Times (Perth, WA : 1874 - 1879)",5,1875-01-01,Article,2877,N,18,"A public dinner was given to His Excellency Governor Weld on the evening of his arrival at the Vasse. It was attended by some 28 of the principal settlers. The harvest, activity of the",https://nla.gov.au/nla.news-article2973496,http://trove.nla.gov.au/newspaper/page/727786
YORK,LOCATION,18750101-29-2973496 (2 of 3).txt,YORK,WA,-31.87259029,116.7833291,100,29,VASSE.,29,"The Western Australian Times (Perth, WA : 1874 - 1879)",5,1875-01-01,Article,2877,N,18,"A public dinner was given to His Excellency Governor Weld on the evening of his arrival at the Vasse. It was attended by some 28 of the principal settlers. The harvest, activity of the",https://nla.gov.au/nla.news-article2973496,http://trove.nla.gov.au/newspaper/page/727786
