0,1,2,__mappify_error
Port Phillip,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Sacramento,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Australia,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
New South,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Wales,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Lewis Ponds Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Summerhill Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
New South Wales,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
California,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Port Phillip,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Victoria,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Toulouse,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Melbourne,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Melbourne,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Australia,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
New South Wales,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Victoria,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Lewis Ponds Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Lewis Ponds Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Guyong,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
California,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Australia,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Sydney,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
California,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
San Joaquin,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Sierra,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Sacramento,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Feather River,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Yuba,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Lewis Ponds Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Guyong,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Guyong,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Summerhill Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Macquarie River,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Turon Mountains,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Turon,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Lewis Ponds Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Summerhill Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Lewis Ponds Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Blue Mountains,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Australia,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Turon,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Blue Mountains,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Victoria,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Clunes,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Anderson's Creek,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Mount Alex,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Mount Alexander,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Buninyong,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Mount Vittoria,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Spain,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Blue Mountains,,8651_28_11_1914_10_XI_THE BECKONTNG OF THE STARS._10395013.txt,
Atholton,,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,
Atholton,,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,
Atholton,,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,
Atholton,,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,
New Zealand,,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,
Mulgoa,,10214_18_06_1913_5_XV_The House by Atholton._26877306.txt,
New South Wales,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Australia,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Scotland,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Australia,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Australia,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Rocky Point,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Australia,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Haustraliar,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Newcastle,,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Perth,,10359_26_01_1912_3_XII__31392947.txt,
Sydney,,10359_26_01_1912_3_XII__31392947.txt,
Fremantle,,10359_26_01_1912_3_XII__31392947.txt,
Perth,,10359_26_01_1912_3_XII__31392947.txt,
Sydney,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
British,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Alain Street,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Sydney,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Toronto,,10359_26_01_1912_3_XII__31392947.txt,
Manitoba,,10359_26_01_1912_3_XII__31392947.txt,
New South Wales,,10359_26_01_1912_3_XII__31392947.txt,
Lake Superior,,10359_26_01_1912_3_XII__31392947.txt,
Broken Hill,,10359_26_01_1912_3_XII__31392947.txt,
Fort William,,10359_26_01_1912_3_XII__31392947.txt,
Kenora,,10359_26_01_1912_3_XII__31392947.txt,
Eastern,,10359_26_01_1912_3_XII__31392947.txt,
Canada,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Canada,,10359_26_01_1912_3_XII__31392947.txt,
British Isles,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Great Britain,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnlipeg,,10359_26_01_1912_3_XII__31392947.txt,
Lake WVinnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Rivertina,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Canada,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Winnipeg,,10359_26_01_1912_3_XII__31392947.txt,
Liverpool,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Eiirinrbla Station,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Liverpool,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Bluff Valley,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Paramatta,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Northern Ranges,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
America,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Bailey,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Bailey River,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Morpeth,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Australia,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Liverpool,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Morpeth,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Royal Mail Hotel,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Patrick 's Plains,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Cassilis Station,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Australia,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Sydney,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Glen of Adullam;,,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,
Harglen,,11611_21_4_1911_3_VI__101608984.txt,
Harglen,,11611_21_4_1911_3_VI__101608984.txt,
Warbrook,,11611_21_4_1911_3_VI__101608984.txt,
Scotland,,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,
Ashfield,,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,
Burwood,,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,
Drummoyne,,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,
Long Bay,,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,
Abbotsford,,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,
Burwood,,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Bland Creek,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Bland Creek,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Bland Creek,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Victoria,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Mallee Plais,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Weddin Mountains,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Bland Creek,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Australia,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Bland Creek,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake Macquarie,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Lake-Cowal,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Back Creek,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Back Creek,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
West Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
England,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Africa,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
West Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
West Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Broken Hill,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Wyalong,,10785_23_10_1908_6_V _SPORT._45038727.txt,
Bald Hills,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Bathurst,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Weddln Mountains,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Carcoar,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Red Creek,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Sandy Creek,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Cowra,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Bald Hill Flat,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
"Twofold Bay,",,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
"Twofold Bay,",,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
America,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Frisco,,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,
Pleasant Valley,,23687_30_11_1909_5___33297095.txt,
New Mlexieo,,23687_30_11_1909_5___33297095.txt,
Amerca,,23687_30_11_1909_5___33297095.txt,
London,,8873_29_5_1909_6_XXXVI_Marjorie Unsatisfied._71968655.txt,
England,,8873_29_5_1909_6_XXXVI_Marjorie Unsatisfied._71968655.txt,
London,,8873_29_5_1909_6_XXXVI_Marjorie Unsatisfied._71968655.txt,
Jiia,,24020_8_12_1906_15___25972763.txt,
Gulf,,23996_14_03_1906_697___164040319.txt,
America,,23996_14_03_1906_697___164040319.txt,
Iowa,,23996_14_03_1906_697___164040319.txt,
Brisbane,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Townsville,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Acacia Gardens,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
North Queensland,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Cleveland Bay,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Picnic Bay,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Carlidtta,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Townsville,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Queensland,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Queensland,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Townsville,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
China,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Australia,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Townsville,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Greek,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Australia,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
England,,"24051_30_11_1907_19_VI (Continued), VII__205009008.txt",
Charleville,,23983_3_06_1905_50___139807147.txt,
Charleville,,23983_3_06_1905_50___139807147.txt,
York,,24051_4_01_1908_18_XI__196105655.txt,
New Zealand,,24051_4_01_1908_18_XI__196105655.txt,
Tedward,,24051_4_01_1908_18_XI__196105655.txt,
Brisbane,,24051_4_01_1908_18_XI__196105655.txt,
North Island,,24051_4_01_1908_18_XI__196105655.txt,
New Zealand,,24051_4_01_1908_18_XI__196105655.txt,
Queensland,,24051_4_01_1908_18_XI__196105655.txt,
Somerset,,5657_13_05_1905_72_XIX__33520931.txt,
Port Denison,,5657_13_05_1905_72_XIX__33520931.txt,
Port Denison,,5657_13_05_1905_72_XIX__33520931.txt,
Somerset,,5657_13_05_1905_72_XIX__33520931.txt,
Sydney,,5657_13_05_1905_72_XIX__33520931.txt,
North Queensland,,5657_13_05_1905_72_XIX__33520931.txt,
Sydney,,5657_13_05_1905_72_XIX__33520931.txt,
Gerrards,,5657_13_05_1905_72_XIX__33520931.txt,
Mt. Yatna,,23177_8_07_1904_4_9.1__207078153.txt,
Broken Hill,,23177_8_07_1904_4_9.1__207078153.txt,
Mt. Yatna,,23177_8_07_1904_4_9.1__207078153.txt,
Mount Yatna,,23177_8_07_1904_4_9.1__207078153.txt,
Mt. Yatna,,23177_8_07_1904_4_9.1__207078153.txt,
Mount Yatna,,23177_8_07_1904_4_9.1__207078153.txt,
Wyalong,,11561_24_07_1903_3_IV__90318419.txt,
Melbourne,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Melbourne,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Robson Sea,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Emerald Isle,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Durlham,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Durham,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Port Phillip,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
London,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
St. Hel,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
India,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Longwood,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Longwood,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Longwood,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
England,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Colac,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Geelong,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Avoca,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Sydney,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Lancefield,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Collingwood,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Newtown,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Red Stone Hill,,7618_15_08_1903_4_XI_ON THE RIVER PLENTY_70069326.txt,
Australasia,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Africa,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Africa,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
British Isles,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Micklhham,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Portland Bay,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Sydney,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Maaedon,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Melbourne,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Melbourne,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Plymouth,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
London,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Plysmouth,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
London,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Eng Slan,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Exeter,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
London,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Jamnica,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Dandenong,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
British Isles,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
France,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Melbourne,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Lamb Inn,,7618_25_07_1903_4_IX_FRIGID AND TURRID. _70069260.txt,
Aldgate,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Sydney,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
IL,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Jiad,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
Neva,,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,
