article_id,trove_id,Database,Total Chapters,Chapter,Date,Decade,Trove Title,Chapter Title,Whole Item Link,Chapter Link,url,Genre,Narrative Foreground/Background,Bushfire_Tense_Context,Summary_of_Bushfire,Excerpt #1,Accuracy,Point/Polygon,Bushfire_Location,Excerpt or note on fire location,Trove ID,Common Title,Publication Title,Start Date,End Date,Additional Info,Length,nothing,Curated Dataset,Identified Sources,Publication Source,Newspaper ID,Newspaper,Newspaper Common Title,Coordinates,Newspaper Location,Newspaper Type,Colony/State,Author ID,Author,Other Names,Publication Author,Gender,Nationality,Nationality Details,Author Details,Inscribed Gender,Inscribed Nationality,Signature,Name Category,Context
36695560,5431,Database,67,37,1868,1860,The Maxwells of Bremgarten,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=5431,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=36695560,https://trove.nla.gov.au/newspaper/article/36695560,,Narrative Background,Past Secondary,,,Proximate,Polygon,Near Sydney,,5431,The Maxwells of Bremgarten,The Maxwells of Bremgarten,1867-04-06,1868-10-17,,0,,Y,AustLit,,74,Launceston Examiner (Tas. : 1842 - 1899),Launceston Examiner,"-41.439068, 147.1357671","Launceston, TAS",Provincial,Tasmania,633,"Ferrar, William Moore",,Unattributed,Male,Australian,Born in Dublin died in Australia,AustLit,Uninscribed,Australian,,Unattributed,
36698899,5431,Database,67,51,1868,1860,The Maxwells of Bremgarten,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=5431,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=36698899,https://trove.nla.gov.au/newspaper/article/36698899,,Narrative Background,Past Secondary,,"On one occasion
when a great bush fire raged in this neigh-
Fix this textborhood, and when my standing corn was
saved by something little short of a miracle,
you opportunely appeared and assisted to
beat out the fire, which all but got the better
of Mr. Juniper and a number of men ; at
least, I concluded from the description that
you were the man.",,,,,5431,The Maxwells of Bremgarten,The Maxwells of Bremgarten,1867-04-06,1868-10-17,,0,,Y,AustLit,,74,Launceston Examiner (Tas. : 1842 - 1899),Launceston Examiner,"-41.439068, 147.1357671","Launceston, TAS",Provincial,Tasmania,633,"Ferrar, William Moore",,Unattributed,Male,Australian,Born in Dublin died in Australia,AustLit,Uninscribed,Australian,,Unattributed,
108263966,12800,Database,37,35,1868,1860,Golden Gifts,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=12800,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=108263966,https://trove.nla.gov.au/newspaper/article/108263966,novel,Narrative Foreground,Past Primary,surveys destruction of bushfire,,Precise,Point,"Mount Barker Road, Adelaide, SA",,12800,Golden Gifts,Golden Gifts,1867-05-24,1868-03-06,,0,,Y,Austlit,,399,Kapunda Herald and Northern Intelligencer (SA : 1864 - 1878),Kapunda Herald,"-34.3390894, 138.9166259","Kapunda, SA",Provincial,South Australia,4700,"Franc, Maud Jeanne",,Unattributed,Female,Australian,,,Uninscribed,Australian,"""Marian"" ""Vermont Vale""",Unattributed with signature,
27264280,20941,Database,,,1871,1870,"The Cousins; Or, Adventures in the Bush",,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=20941,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=27264280,https://trove.nla.gov.au/newspaper/article/27264280,Adventure,Narrative Background,Future Secondary,,,Proximate,Polygon,hundred miles west of sydney,"""The scene lies in the bush, and opens in a forest that intervenes between two large sheep stations in' the interior, some hundreds of miles to the west of Sydney""",20941,"The Cousins; Or, Adventures in the Bush","The Cousins; Or, Adventures in the Bush",1871-01-21,1871-01-21,,1,,N,,,42,"The Queenslander (Brisbane, Qld. : 1866 - 1939)",Queenslander,"-27.4704528, 153.0260341","Brisbane, Qld.",Metropolitan,Queensland,2629,Unknown2,,Unattributed,Unknown,Unknown,,,Unknown,,,Unattributed,
65426189,1691,Database,,,1871,1870,Condensed Novels: The Haunted Man,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=1691,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=65426189,https://trove.nla.gov.au/newspaper/article/65426189,,None,None,OCR error,,None,,,,1691,Condensed Novels: The Haunted Man,Condensed Novels: The Haunted Man,1871-11-13,1871-11-13,,1,,N,WPEDIA,,110,Portland Guardian and Normanby General Advertiser (Vic. : 1842 - 1876),Portland Guardian,"-38.360895, 141.6041155","Portland, VIC",Provincial,Victoria,53,"Harte, Bret",,"Harte, Bret",Male,American,,WPEDIA,Unknown,,,Attributed,
164374170,12051,Database,25,16,1871,1870,Caleb Thornton,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=12051,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=164374170,https://trove.nla.gov.au/newspaper/article/164374170,,Narrative Background,Past Primary,,,?,?,Macedon,"There,' said he, ' I fancy that is as good a dodge as any going. I had those boots made in Sydney when I came down from the Turan rush. If we meet with any of the gentlemen of the road they can't get at your capital unless they take my boots. And now let us be off.' We had entered the Forest, the road leading through the midst of huge trees blackened by periodical bush fireB. Being dry weather, the travelling was only tendered unpleasant by the dust ; but I could well understand Vaughan when he told me that in the wet season he had counted as many as thirty drays bogged in the Forest. ' I've known them six weeks getting up to the creek,' said he ; ' there's old ' Macedon ' for you to your right.'",12051,Caleb Thornton,Caleb Thornton,1871-10-07,1872-03-30,,0,,Y,,,698,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),Sydney Mail,"-33.8688197, 151.2092955","Sydney, NSW",Metropolitan,New South Wales,7,Rita,Eliza Margaret Jane Desmond Humphreys] (1850‚Äì1938),Unattributed,Female,British,,"Eliza Margaret Jane [pseud. Rita; known as Mrs W. Desmond Humphreys] (1850‚Äì1938), novelist, was born on 14 June 1850",Uninscribed,Uninscribed,,Unattributed,
219367489,24190,Database,,,1871,1870,Pierce Charltons Wives,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=24190,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=219367489,https://trove.nla.gov.au/newspaper/article/219367489,,Narrative Background,Past Primary,"Discussing how the bushfires burn near here each year, reference to Black Thursday","In those scorching hours, too, when even the shade of the tall gum trees was barely sufficient to keep out the glare, the herbage underneath grew parched and-withered, and in the thick forests around the bush fires blazed ominously. But in the days when Charles Ashton first shared a squatter's home there was none of this.",Proximate,Polygon,Near Ballarat,,24190,Pierce Charltons Wives,Pierce Charlton's Wives,1871-01-07,1871-10-21,,0,,N,,,1249,The Weekly Times,Hobart Weekly Times,"-42.8826055, 147.3257197","Hobart Town, Tas.",Metropolitan,Tasmania,7646,"Walstab, George Arthur",,"Walstab, George Arthur",Male,,,,,,,,
219367994,24190,Database,,,1871,1870,Pierce Charltons Wives,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=24190,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=219367994,https://trove.nla.gov.au/newspaper/article/219367994,?,Narrative Background,Past Primary,,"By Jove, I've seen the ranges looking like an illuminated city or Martin'g pandemo- nium "" ""Does the fire ever do much damage ?"" "" Rather. There are a good few here who can remember, some three years ago, a day called Black Thursday, when stations, sheep, and men were burnt up in all directions. Poor Cummings, in the Western District, was ruined by it. A bush fire is a ticklish thing, I can tell you, espe- cially when there is no insurance. I have beenvery lucky hitherto, but I had a stack burnt last season, and I intend to make some arrangement",Precise,Polygon,"Western District, VIC",,24190,Pierce Charltons Wives,Pierce Charlton's Wives,1871-01-07,1871-10-21,,0,,N,,,1249,The Weekly Times,Hobart Weekly Times,"-42.8826055, 147.3257197","Hobart Town, Tas.",Metropolitan,Tasmania,7646,"Walstab, George Arthur",,"Walstab, George Arthur",Male,,,,,,,,
220405886,24190,Database,,,1871,1870,Pierce Charltons Wives,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=24190,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=220405886,https://trove.nla.gov.au/newspaper/article/220405886,,Narrative Background,Past Secondary,,"Only three years — two years and a half ofcomfort and happiness, and six months of drudgery A bad season had carried off half the money he and John Herbert had invested ; then, during John's absence, a bush fire had destroyed the homestead — still uninsured — at Lal-Lal ; then poor John — oh ! how bitterly wept for by Lucy — had died, far away on the Darling, struck down by fever ; then they had come to town, and Ashton had tried his fortune there.",Precise,Point,homestead Lal-Lal,,24190,Pierce Charltons Wives,Pierce Charlton's Wives,1871-01-07,1871-10-21,,0,,N,,,1249,The Weekly Times,Hobart Weekly Times,"-42.8826055, 147.3257197","Hobart Town, Tas.",Metropolitan,Tasmania,7646,"Walstab, George Arthur",,"Walstab, George Arthur",Male,,,,,,,,
1378870,127,Database,,,1874,1870,Long Odds,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=127,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=1378870,https://trove.nla.gov.au/newspaper/article/1378870,,Part of Speech,Hypothetical/Theoretical,,,,None,None,"I remember that j enm
fellow, Darling Downs, who used to givo thoso big feeds in Kensington Gore?ho was slwaya talking about stock, and stations, and wild cattle, and bush fires, and riding one hundred miles ii day for six weeks.""",127,Long Odds,Long Odds,1874-01-17,1874-06-06,,0,,Y,AustLit,,16,The Brisbane Courier (Qld. : 1864 - 1933),Brisbane Courier,"-27.4704528, 153.0260341","Brisbane, Qld.",Metropolitan,Queensland,48,"Clarke, Marcus",,Unattributed,Male,Australian,,AustLit,Uninscribed,British,,Unattributed,
18332181,20180,Database,single volume,single volume,1874,1870,Reminiscences in the Life of a Colonial Journalist,,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/showbytrove&SearchArticle[new_trove_id]=20180,https://cdhrdatasys.anu.edu.au/anfd/web/index.php?r=article/viewwtrove&id=18332181,https://trove.nla.gov.au/newspaper/article/18332181,,Narrative Background,Past Secondary,discussing previous love interest who perished in a bushfire,"From Melbourne I proceeded to explore the interior of the western districts of the colony, where, having for a time engaged with a sheep farmer in idyllic pursuits, I subsequently under took to advance the somewhat neglected edu cation of his lovely and charming daughter, who unfortunately, during my temporary absence, got mixed up with a bush fire and was con sumed. And this brought my engagement to a natural termination.",Proximate,Polygon,Western District,,20180,Reminiscences in the Life of a Colonial Journalist,Reminiscences in the Life of a Colonial Journalist,1874-07-25,1874-10-17,,0,,Y,,,42,"The Queenslander (Brisbane, Qld. : 1866 - 1939)",Queenslander,"-27.4704528, 153.0260341","Brisbane, Qld.",Metropolitan,Queensland,6954,Snyder,,Snyder,Unknown,Unknown,,,Uninscribed,Australian,,Pseudonym,
