Placename,Filename,longitude,latitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id,Status,Trove Title,Narrative Foreground/Background,url,Newspaper,Author,Start Date,End Date,Bushfire_Location
Charleville,23983_3_06_1905_50___139807147.txt,146.2723611,-26.40083333,QLD,0.038935718,0.032287453,4,100,exact,23983,Matching,The Elliot Famly,Narrative Background,https://trove.nla.gov.au/newspaper/article/139807147,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Forrest, Mabel",3/6/05,3/6/05,
Southern Tablelands,23916_9_11_1918_42_I_Defeat_22366486.txt,,,None,,,0,,None,23916,Matching,Mutmutbilly,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/22366486,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Young, Flora",9/11/18,9/11/18,
Pleasant Valley,23687_30_11_1909_5___33297095.txt,138.58073,-34.1012805,Ambiguous,8.649500221,7.714313,3,,exact,23687,Matching,A chase in the bush: A tale of three Christmases,Narrative Background,https://trove.nla.gov.au/newspaper/article/33297095,Kalgoorlie Western Argus (WA : 1896 - 1916),"Grey, Elgin",30/11/09,30/11/09,
Australia,23622_1_01_1899_19___76967030.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,23622,Matching,An Eve of Fire,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/76967030,"The Dawn (Sydney, NSW : 1888 - 1905)","Suttor, Mrs Allan",1899-01-01,1899-01-01,
,,,,,,,,,,,Non-matching,The Genii of the Vanguard,Narrative Background,https://trove.nla.gov.au/newspaper/article/207077994,The Central Advocate,"Lockwood, F. E.",22/4/04,26/8/04,
Mt. Yatna,23177_8_07_1904_4_9.1__207078153.txt,,,None,,,0,,None,23177,Matching,The Genii of the Vanguard,Narrative Background,https://trove.nla.gov.au/newspaper/article/207078153,The Central Advocate,"Lockwood, F. E.",22/4/04,26/8/04,
Mount Yatna,23177_15_07_1904_4_10.1__207078162.txt,,,None,,,0,,None,23177,Matching,The Genii of the Vanguard,None,https://trove.nla.gov.au/newspaper/article/207078162,The Central Advocate,"Lockwood, F. E.",22/4/04,26/8/04,
Macquarie Harbor,22995_19_12_1900_4_None_None_9568148.txt,145.324,-42.1682,No best estimate,0.086444722,0.086444722,3,66.66666667,fuzzy,22995,Matching,The Oath of Edward Hare,Narrative Background,https://trove.nla.gov.au/newspaper/article/9568148,"The Argus (Melbourne, Vic. : 1848 - 1957)","Wright, James J.",19/12/00,19/12/00,
OR,22842_28_4_1888_34_3. IX_THE SICK MAN'S APPEAL_198021898.txt,,,None,,,0,,None,22842,Matching,"Yuroka; or, Saxon and Savage",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/198021898,"Leader (Melbourne, Vic. : 1862 - 1918)","Osborne, Foster",1887-10-22,1888-05-05,Riverina NSW
Wangaratta,22842_21_4_1888_34_3. VIII_LOST! GOING NORTH._198024600.txt,146.3165283,-36.35486221,VIC,0.005494749,0.005892149,4,75,exact,22842,Matching,"Yuroka; or, Saxon and Savage",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/198024600,"Leader (Melbourne, Vic. : 1862 - 1918)","Osborne, Foster",1887-10-22,1888-05-05,Riverina NSW
Wondleford,22812_22_4_1899_47_None__138613810.txt,,,None,,,0,,None,22812,Matching,Wondleford Mystery,Narrative Background,https://trove.nla.gov.au/newspaper/article/138613810,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Mills, Ethel",1899-04-22,1899-04-22,
TURNSTILES,22375_5_2_1898_28_I__138662004.txt,,,None,,,0,,None,22375,Matching,To Him that Hath Not,Narrative Background,https://trove.nla.gov.au/newspaper/article/138662004,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Turner, Lilian",1898-02-05,1898-02-05,
Euclid,21825_25_2_1886_2_None__174567486.txt,,,None,,,0,,None,21825,Matching,The Pursuit of Pleasure,Narrative Background,https://trove.nla.gov.au/newspaper/article/174567486,Melbourne Punch (Vic. : 1855 - 1900),"Smyley, Luke",1886-02-25,1886-02-25,
Pannikin Creek,21519_5_5_1894_33_None__196855929.txt,141.146085,-25.87630167,Ambiguous,10.44462951,10.42128775,4,,exact,21519,Matching,The Luck of the Golden Serpent,Narrative Background,https://trove.nla.gov.au/newspaper/article/196855929,"Leader (Melbourne, Vic. : 1862 - 1918)",M. E. B. H.,1894-05-05,1894-05-05,alps?
Toogong,21323_26_8_1893_33_None__160813349.txt,148.6768056,-33.36777778,NSW,0.040933907,0.035798237,4,100,exact,21323,Matching,The Hill of Seven Trees,Narrative Background,https://trove.nla.gov.au/newspaper/article/160813349,Adelaide Observer (SA : 1843 - 1904),"Horsley, Reginald",1893-08-26,1893-08-26,Tambaroora NSW
Carlsriiho,21143_18_11_1892_3_XVII__195891781.txt,,,None,,,0,,None,21143,Matching,The Fatal Treasure: A Story of the Black Forest,Narrative Background,https://trove.nla.gov.au/newspaper/article/195891781,Port Adelaide News and Lefevre's Peninsula Advertiser (SA : 1883 - 1897),"Wright, James J.",1892-09-16,1893-01-13,Black Forest Victoria
Beula township,20941_21_1_1871_7_None__27264280.txt,,,None,,,0,,None,20941,Matching,"The Cousins; Or, Adventures in the Bush",Narrative Background,https://trove.nla.gov.au/newspaper/article/27264280,"The Queenslander (Brisbane, Qld. : 1866 - 1939)",Unknown2,1871-01-21,1871-01-21,hundred miles west of sydney
Wandinong,20832_1_10_1898_37_V__197539659.txt,149.015931,-32.23512575,NSW,4.170238344,4.170238344,2,100,exact,20832,Matching,The Camp at Wandinong,Narrative Background,https://trove.nla.gov.au/newspaper/article/197539659,"Leader (Melbourne, Vic. : 1862 - 1918)","Turner, Ethel",1898-09-17,1898-10-15,
Queensland,20528_2_12_1893_35_None__138111100.txt,121.2023,-31.02926,WA,0,0,1,100,exact,20528,Matching,Such a Common Story,Narrative Background,https://trove.nla.gov.au/newspaper/article/138111100,"The Australasian (Melbourne, Vic. : 1864 - 1946)",Goodwin,1893-12-02,1893-12-02,Victoria
GIPPSLAND SELBCTION,20525_28_1_1899_42_V__196510699.txt,,,None,,,0,,None,20525,Matching,Studies in Bush Life. On a Gippsland Selection,Narrative Background,https://trove.nla.gov.au/newspaper/article/196510699,"Leader (Melbourne, Vic. : 1862 - 1918)","Stocks, A. Mabel",1899-01-07,1899-02-04,
,,,,,,,,,,,Non-matching,Settlement in Full,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/181818726,"The Week (Brisbane, Qld. : 1876 - 1934)","Earle, Horace",1878-04-20,1878-06-29,Tropical Queensland
Brisbane,20335_22_6_1878_9_XX_CREDITOR. BILL COURCY'S FATE._181819949.txt,151.9229167,-29.82472222,Ambiguous,2.603174807,2.603174807,2,,exact,20335,Matching,Settlement in Full,Narrative Background,https://trove.nla.gov.au/newspaper/article/181819949,"The Week (Brisbane, Qld. : 1876 - 1934)","Earle, Horace",1878-04-20,1878-06-29,None
Port Phillip,20180_15_8_1874_7_None__18332181.txt,144.8913889,-38.1072222,VIC,0,0,1,100,exact,20180,Matching,Reminiscences in the Life of a Colonial Journalist,Narrative Background,https://trove.nla.gov.au/newspaper/article/18332181,"The Queenslander (Brisbane, Qld. : 1866 - 1939)",Snyder,1874-07-25,1874-10-17,Western District
Jlorlyn Creek,20022_7_1_1882_3_I__198489058.txt,,,None,,,0,,None,20022,Matching,"Philiberta, An Australian Tale",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/198489058,"Leader (Melbourne, Vic. : 1862 - 1918)","Talbot, Thorpe",1882-01-07,1882-07-08,Merlyn Creek
Ballarat,"20022_14_1_1882_3_III_TIME, THE GREAT HEALER._198489670.txt",143.8565216,-37.55986023,VIC,0.009418973,0.002377951,6,83.33333333,exact,20022,Matching,"Philiberta, An Australian Tale",Narrative Background,https://trove.nla.gov.au/newspaper/article/198489670,"Leader (Melbourne, Vic. : 1862 - 1918)","Talbot, Thorpe",1882-01-07,1882-07-08,none
Tasmania,19903_25_7_1891_34_I__197951120.txt,146.75,-42,TAS,0,0,2,100,exact,19903,Matching,Only An Acquaintanc,Narrative Background,https://trove.nla.gov.au/newspaper/article/197951120,"Leader (Melbourne, Vic. : 1862 - 1918)",B. F. T. G.,1891-07-25,1891-07-25,Deepdean Tasmania
GORBINGE,19865_26_10_1889_46_None__139137400.txt,,,None,,,0,,None,19865,Matching,One Night at Gorringe,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/139137400,"The Australasian (Melbourne, Vic. : 1864 - 1946)",A. M.,1889-10-26,1889-10-26,near Gorringe
Naples,19576_28_8_1896_3_XVII__174317501.txt,,,None,,,0,,None,19576,Matching,Mrs Tregaskiss: A Novel of Anglo-Australian Life,Narrative Background,https://trove.nla.gov.au/newspaper/article/174317501,"The Telegraph (Brisbane, Qld. : 1872 - 1947)","Praed, Mrs Campbell",1896-08-08,1896-09-01,
England,19476_29_3_1895_4_5. VII__156694461.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,19476,Matching,Moondyne,Narrative Background,https://trove.nla.gov.au/newspaper/article/156694461,"National Advocate (Bathurst, NSW : 1889 - 1954)","O'Reilly, J. Boyle",1895-01-09,1895-03-30,"Bunbury, WA"
,,,,,,,,,,,Non-matching,Moondyne,Narrative Background,https://trove.nla.gov.au/newspaper/article/156699374,"National Advocate (Bathurst, NSW : 1889 - 1954)","O'Reilly, J. Boyle",1895-01-09,1895-03-30,"Bunbury, WA"
Bunbury,19476_30_3_1895_4_5. VIII_THE BUSH-FIRE._156705046.txt,132.0315222,-33.26467833,Ambiguous,16.39060638,16.38959618,8,,exact,19476,Matching,Moondyne,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/156705046,"National Advocate (Bathurst, NSW : 1889 - 1954)","O'Reilly, J. Boyle",1895-01-09,1895-03-30,west of koagulup swamp
Currumbede,19054_11_9_1897_29_VIII __196840414.txt,,,None,,,0,,None,19054,Matching,Keith Hope,Narrative Background,https://trove.nla.gov.au/newspaper/article/196840414,"Leader (Melbourne, Vic. : 1862 - 1918)","Cameron, William A.",1897-08-14,1897-10-30,
Currumbede,19054_14_8_1897_32_I__196845802.txt,,,None,,,0,,None,19054,Matching,Keith Hope,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/196845802,"Leader (Melbourne, Vic. : 1862 - 1918)","Cameron, William A.",1897-08-14,1897-10-30,
Egyptian,19054_4_9_1897_31_VII__196847658.txt,,,None,,,0,,None,19054,Matching,Keith Hope,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/196847658,"Leader (Melbourne, Vic. : 1862 - 1918)","Cameron, William A.",1897-08-14,1897-10-30,
Devonshire,19054_30_10_1897_7_XV__197301750.txt,148.6803213,-32.7889585,NSW,3.213107388,3.213107388,2,100,exact,19054,Matching,Keith Hope,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/197301750,"Leader (Melbourne, Vic. : 1862 - 1918)","Cameron, William A.",1897-08-14,1897-10-30,
Nande,19054_23_10_1897_33_XV__197305478.txt,,,None,,,0,,None,19054,Matching,Keith Hope,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/197305478,"Leader (Melbourne, Vic. : 1862 - 1918)","Cameron, William A.",1897-08-14,1897-10-30,
Murcia,18957_20_4_1889_46_I__139699190.txt,,,None,,,0,,None,18957,Matching,Jane,Narrative Background,https://trove.nla.gov.au/newspaper/article/139699190,"The Australasian (Melbourne, Vic. : 1864 - 1946)","West, Mark",1889-04-20,1889-04-27,remote corner of the Victorian Bush
Australia,18760_9_1_1892_6_2. V__3030108.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,18760,Matching,How the Curse Came. A Story in Two Parts,Narrative Background,https://trove.nla.gov.au/newspaper/article/3030108,"The West Australian (Perth, WA : 1879 - 1954)","Brimyard, Mostyn",1891-10-31,1892-01-23,not clear
Maxworth Downs,18602_20_02_1897_23_II_None_139738130.txt,,,None,,,0,,None,18602,Matching,His Especial Fear,Narrative Background,https://trove.nla.gov.au/newspaper/article/139738130,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Mills, Ethel",1897-02-20,1897-02-20,
Tocumwal,18472_2_3_1895_28_None__139706802.txt,145.5594444,-35.79833333,NSW,0.0186339,0.0186339,2,100,exact,18472,Matching,Hal Stainer,Narrative Background,https://trove.nla.gov.au/newspaper/article/139706802,"The Australasian (Melbourne, Vic. : 1864 - 1946)",Lynette,1895-03-02,1895-03-02,Tocumwal/Jerilderie
Mount Wombat,17686_20_2_1857_7_III__197087213.txt,146.6465964,-36.39062467,Ambiguous,1.074167462,1.074167462,2,,exact,17686,Matching,Black Tom the Bushranger. A Tale of Twenty Years Ago,Narrative Background,https://trove.nla.gov.au/newspaper/article/197087213,Mount Alexander Mail (Vic. : 1854 - 1917),"B. L., Forest Creek",1857-02-20,1857-02-27,Mount Wombat
Cape Otway,17685_1_12_1856_1_None__136440103.txt,143.5112457,-38.85791779,VIC,0,0,1,100,exact,17685,Matching,Black Thursday,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/136440103,"Illawarra Mercury (Wollongong, NSW : 1856 - 1950)",William Howitt,1856-12-01,1856-12-01,"Lake Colac, VIC"
Swiss,17590_13_10_1894_5_1. I__183318154.txt,,,None,,,0,,None,17590,Matching,Baron Sam,Part of Speech,https://trove.nla.gov.au/newspaper/article/183318154,The Bendigo Independent (Vic. : 1891 - 1918),"Rathborne, St George",1894-10-13,1895-01-12,
New Zealand,17526_10_4_1897_29_I__196847144.txt,,,None,,,0,,None,17526,Matching,At the Turn of His Luck,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/196847144,"Leader (Melbourne, Vic. : 1862 - 1918)","Daring, Cromer",1897-04-10,1897-04-10,
Ireland,17502_24_12_1881_4_XXII__198488865.txt,,,None,,,0,,None,17502,Matching,As a Tale that is Told,Narrative Background,https://trove.nla.gov.au/newspaper/article/198488865,"Leader (Melbourne, Vic. : 1862 - 1918)","Murrell, Laura",1881-07-16,1882-01-21,Victoria
Tasmania,17477_12_5_1877_9_XXI_FLAMES AND SHADOWS._181785345.txt,146.75,-42,TAS,0,0,2,100,exact,17477,Matching,Anderton's Angling. The Story of a Holiday in Tasmania. A Novelette,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/181785345,"The Week (Brisbane, Qld. : 1876 - 1934)","Senior, W.",1877-02-10,1877-06-16,Four miles out of Deloraine
Tasmania,17477_2_6_1877_9_XXV_IDLING AT LAUNCE?_181785829.txt,146.75,-42,TAS,0,0,2,100,exact,17477,Matching,Anderton's Angling. The Story of a Holiday in Tasmania. A Novelette,Narrative Background,https://trove.nla.gov.au/newspaper/article/181785829,"The Week (Brisbane, Qld. : 1876 - 1934)","Senior, W.",1877-02-10,1877-06-16,"Mountain range beyond St. Leonards, Tasmania"
Melbourne,17420_5_7_1889_4_XII__197591621.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,17420,Matching,An Odd Legacy,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/197591621,"The Port Augusta Dispatch, Newcastle and Flinders Chronicle (SA : 1885 - 1916)",H. W.,1889-05-10,1889-07-05,country Victoria
Stony Creek,17381_23_3_1889_46_I__139698046.txt,148.8511111,-33.99833333,Ambiguous,5.327493811,3.885086062,363,,exact,17381,Matching,An Exorcism,Narrative Background,https://trove.nla.gov.au/newspaper/article/139698046,"The Australasian (Melbourne, Vic. : 1864 - 1946)",K. T. L.,1889-03-23,1889-03-23,"Stony Creek, Victoria"
Ireland,17325_13_8_1896_4_V__171357595.txt,,,None,,,0,,None,17325,Matching,An Australian Bush Track,Narrative Background,https://trove.nla.gov.au/newspaper/article/171357595,GympieTimes and Mary River Mining Gazette (Qld. : 1868 - 1919),"Hennessey, J. D.",1896-08-13,1896-08-13,
Philoso,17219_13_1_1899_42_None__37725666.txt,,,None,,,0,,None,17219,Matching,After Fifty Years,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/37725666,"Western Mail (Perth, WA : 1885 - 1954)","Bufton, J.",1899-01-13,1899-01-13,"near Port Davey, Tasmania"
New South Wales,16298_18_10_1879_1_IV_LOSINGS SERKINGS_197731649.txt,147.0177778,-32.16166667,NSW,0,0,1,100,exact,16298,Matching,A Fine Fortune,Narrative Background,https://trove.nla.gov.au/newspaper/article/197731649,"Evening Journal (Adelaide, SA : 1869 - 1912)","Johnson, Joseph Colin Francis",1879-10-04,1880-01-10,None
Malayta,15915_11_11_1899_70_XXIV.__33178310.txt,,,None,,,0,,None,15915,Matching,The Log of the Blackbird Schooner,None,https://trove.nla.gov.au/newspaper/article/33178310,"Western Mail (Perth, WA : 1885 - 1954)","Young, E. W., and Whitcombe, F. H. A.",1899-08-11,10/3/00,
Grange Lea,15824_18_01_1890_113_V__20279945.txt,,,None,,,0,,None,15824,Matching,Annabel,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/20279945,"The Queenslander (Brisbane, Qld. : 1866 - 1939)","Griffiths, George",1890-01-04,1890-01-18,unclear
England,15711_2_3_1896_4_XVI_HINTON INTERFERES._156723492.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,15711,Matching,"The Last of the Rexfords: Chronicled in Wimmeroo, New South Wales",Part of Speech,https://trove.nla.gov.au/newspaper/article/156723492,"National Advocate (Bathurst, NSW : 1889 - 1954)",Two of a Trade,1896-02-04,1896-03-10,
Creek,15632_2_11_1883_3_VIII_CHRISTMAS DAY_120728555.txt,,,None,,,0,,None,15632,Matching,Charlie Thornton. A New Australian Novel,Part of Speech,https://trove.nla.gov.au/newspaper/article/120728555,"Record (Emerald Hill, Vic. : 1881 - 1954)",Wybun,1883-09-21,1884-12-26,none
Melbourne,15560_30_11_1889_46_IV_EMMA CHAMBERS SPEAKS._139144872.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,15560,Matching,Blame Shakespeare,Narrative Background,https://trove.nla.gov.au/newspaper/article/139144872,"The Australasian (Melbourne, Vic. : 1864 - 1946)","West, Mark",1889-11-23,1889-11-30,country Victoria
,,,,,,,,,,,Non-matching,Love the Infidel,Narrative Background,https://trove.nla.gov.au/newspaper/article/139735797,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Turner, Lilian",1897-01-02,1897-01-02,
Bince,15417_18_1_1890_45_1. IV__139146647.txt,,,None,,,0,,None,15417,Matching,In Her Earliest Youth,Part of Speech,https://trove.nla.gov.au/newspaper/article/139146647,"The Australasian (Melbourne, Vic. : 1864 - 1946)",Tasma,1890-01-04,1890-06-07,Sydney harbourside suburb
IL,15412_16_9_1899_40_II__71333661.txt,,,None,,,0,,None,15412,Matching,Memory's Wild Ride,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/71333661,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Tamara, Chloe",1899-09-16,1899-09-16,
Emu Creek,15410_2_4_1895_2_IV_JOHN CAMPBELL'S STATION._133351224.txt,145.25,-21.28333333,QLD,4.71019768,4.494336494,120,59.16666667,exact,15410,Matching,"Philiberta, An Australian Tale",Narrative Background,https://trove.nla.gov.au/newspaper/article/133351224,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),"Talbot, Thorpe",1895-03-29,1895-05-31,Emu Plains
Merlyn Creek,15410_29_3_1895_2_I_THE BUSH FIRE._133356510.txt,143.4,-22.2,QLD,0,0,1,100,fuzzy,15410,Matching,"Philiberta, An Australian Tale",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/133356510,Newcastle Morning Herald and Miners' Advocate (NSW : 1876 - 1954),"Talbot, Thorpe",1895-03-29,1895-05-31,Merlyn Creek
Marin,15399_23_12_1893_11_II_ROVER'S SAGACITTY._160817492.txt,148.4177778,-34.10694444,Ambiguous,8.155421091,9.944989738,17,,fuzzy,15399,Matching,Rover. A South Australian Story,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/160817492,Adelaide Observer (SA : 1843 - 1904),"Hodge, Chas R.",1893-12-23,1893-12-23,Willunga SA
Brisbane,15387_7_6_1879_886_XXXI_MESSRS. FITZGERALD AND BROWN TEST THEIR RIFLES._162805568.txt,151.9229167,-29.82472222,Ambiguous,2.603174807,2.603174807,2,,exact,15387,Matching,Luke Mivers' Harvest,Narrative Background,https://trove.nla.gov.au/newspaper/article/162805568,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Swan, N. Walter",1879-03-08,1879-07-12,Queensland?
Melbourne,15387_24_5_1879_806_XXVII_Mr LUKE MIVERS OBTAINS A CLUE._162808707.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,15387,Matching,Luke Mivers' Harvest,Narrative Background,https://trove.nla.gov.au/newspaper/article/162808707,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Swan, N. Walter",1879-03-08,1879-07-12,None
Glenstone,15387_17_5_1879_767_XXVI_A BUSH FIRE AND ITS CONSEQUENCES._162809311.txt,,,None,,,0,,None,15387,Matching,Luke Mivers' Harvest,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/162809311,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Swan, N. Walter",1879-03-08,1879-07-12,Down from the Glenstone hills
Half-way Creek,15162_24_5_1879_6_VIII__143007664.txt,151.3666667,-29.765,Ambiguous,4.370730365,3.757668174,18,,fuzzy,15162,Matching,Ria. A West Australian Story,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/143007664,"The Australasian (Melbourne, Vic. : 1864 - 1946)",Selburnrigg,1879-05-03,1879-06-07,"Half-way Creek, Western Australia"
,,,,,,,,,,,Non-matching,The Fatal Heirloom,Narrative Background,https://trove.nla.gov.au/newspaper/article/166434739,"Southern Cross (Adelaide, SA : 1889 - 1954)","Dinnis, Enid Maud",1897-04-23,1897-08-27,
Portland,15079_17_6_1865_2_III__138040200.txt,141.6009722,-38.3445816,VIC,0.006267008,0.004442711,7,42.85714286,exact,15079,Matching,A Tale of Early Colonial Life,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/138040200,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Robertson, Andrew",1865-06-17,1865-06-17,Bush
England,15078_5_1_1889_2_III__100119832.txt,152.4666667,-27.43333333,QLD,0,0,1,100,exact,15078,Matching,Virginia of Virginia,Part of Speech,https://trove.nla.gov.au/newspaper/article/100119832,Goulburn Herald (NSW : 1881 - 1907),"Rives, Amelie",1888-12-22,1889-02-02,story set in US
Sydney,14936_14_9_1878_406_XI__162698707.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,14936,Matching,Mrs Ord,Narrative Background,https://trove.nla.gov.au/newspaper/article/162698707,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Parkes, Clarinda",1878-08-10,1878-11-16,Holtscroft
Btating,14918_12_5_1894_7_IX_THE SICK MANS APPEAL_108683341.txt,,,None,,,0,,None,14918,Matching,"Yuroka; or, Saxon and Savage",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/108683341,"Nepean Times (Penrith, NSW : 1882 - 1962)","Osborne, Foster",1893-09-23,1894-06-02,Wyalong
Kolkibertoo,14918_19_5_1894_7_X_FIRE AND VENGEANCE._108683409.txt,,,None,,,0,,None,14918,Matching,"Yuroka; or, Saxon and Savage",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/108683409,"Nepean Times (Penrith, NSW : 1882 - 1962)","Osborne, Foster",1893-09-23,1894-06-02,
Melbourne,14918_2_6_1894_7_3.XI_COLLECTING THE CRUMBS._108683505.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,14918,Matching,"Yuroka; or, Saxon and Savage",Narrative Foreground,https://trove.nla.gov.au/newspaper/article/108683505,"Nepean Times (Penrith, NSW : 1882 - 1962)","Osborne, Foster",1893-09-23,1894-06-02,Wyalong
Sydney,14880_4_6_1864_11_III__166657747.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,14880,Matching,Mickey Mahony's Mishaps,Narrative Background,https://trove.nla.gov.au/newspaper/article/166657747,Sydney Mail (NSW : 1860 - 1871),Old Boomerang,1864-05-14,1864-06-25,Indeterminate
Yarhamundoe,14878_18_4_1874_514_XIX_THE NEW GOVERNESS AT YARRAMUNDOE._162479587.txt,,,None,,,0,,None,14878,Matching,"Kate Mayson; or, Whirls on the Way to Fortune",Part of Speech,https://trove.nla.gov.au/newspaper/article/162479587,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),Old Boomerang,1874-02-21,1874-05-16,None
