,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
43,WAMBO VALE,LOCATION,18600128-8-18650885 (1 of 1).txt,WANDO VALE,VIC,-37.50038984,141.46742769999997,80
48,BALLARAT,LOCATION,18870204-558-150395118 (1 of 1).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
51,BALLARAT,LOCATION,18870204-558-150395118 (1 of 1).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
52,BALLARAT,LOCATION,18650325-13-5742893 (1 of 2).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
55,CBARLEITOWN,LOCATION,18840126-232-262613695 (2 of 3).txt,CHARLESTOWN,NSW,-32.95138651,151.68641409999998,82
72,KLMOKE,LOCATION,18961221-346-88994627 (1 of 1).txt,KILMORE,VIC,-37.29427363,144.9338648,67
75,BSANXHOLHE,LOCATION,18790109-567-226064615 (2 of 3).txt,BRANXHOLME,VIC,-37.8793054,141.80855060000002,80
76,ISLE,LOCATION,18510331-13-4777002 (2 of 4).txt,ISLA,QLD,-25.144426899999996,150.0570876,75
79,EGREMONT,LOCATION,18510331-13-4777002 (2 of 4).txt,EAGLEMONT,VIC,-37.764854,145.058312,75
82,NEWCASTLE,LOCATION,18910107-30-3139737 (2 of 2).txt,REDCASTLE,VIC,-36.792336299999995,144.78582509999998,78
87,PICTON,LOCATION,18881013-289-94767470 (3 of 4).txt,WILTON,NSW,-34.24531162,150.6991925,67
88,WEROMBL,LOCATION,18881013-289-94767470 (3 of 4).txt,WEROMBI,NSW,-33.98423404,150.5951071,86
89,CAMDEN,LOCATION,18881013-289-94767470 (3 of 4).txt,CADDENS,NSW,-33.77412823,150.7380085,83
96,BAY,LOCATION,18600103-189-72464103 (1 of 1).txt,HAY,NSW,-34.49820018,144.8313915,67
97,CAMDEN,LOCATION,18881106-35-13702594 (1 of 4).txt,CADDENS,NSW,-33.77412823,150.7380085,83
98,CAMDEN,LOCATION,18881106-35-13702594 (1 of 4).txt,CADDENS,NSW,-33.77412823,150.7380085,83
100,BAY,LOCATION,18750216-29-2973699 (1 of 1).txt,HAY,NSW,-34.49820018,144.8313915,67
101,PENOLA,LOCATION,18750206-232-191558563 (4 of 4).txt,BENOWA,QLD,-28.01646043,153.3882932,67
104,ARIZONA,LOCATION,18980121-436-99971758 (1 of 1).txt,ARDMONA,VIC,-36.38950235,145.29572549999997,71
109,BRANXHOLME,LOCATION,18961230-346-88994913 (6 of 8).txt,BANGHOLME,VIC,-38.037178000000004,145.1941979,78
110,GLENROWAN,LOCATION,18961230-346-88994913 (6 of 8).txt,GLENLOGAN,QLD,-27.83160115,152.9941332,78
112,GULGONG,LOCATION,18840109-232-262612545 (1 of 1).txt,BULONG,WA,-30.74836884,121.7690848,83
115,BETHANGA,LOCATION,18810122-436-254362257 (1 of 2).txt,CETHANA,TAS,-41.47280127,146.1495095,86
117,MOUNT MORGAN,LOCATION,18940721-493-126610278 (1 of 2).txt,MOUNT DORAN,VIC,-37.72170693,144.04105980000003,82
118,KEARNY,LOCATION,18650318-103-63170016 (20 of 23).txt,KEARNS,NSW,-34.0200864,150.8093063,83
119,KEARNY,LOCATION,18650318-103-63170016 (20 of 23).txt,KEARNS,NSW,-34.0200864,150.8093063,83
121,PENRITH,LOCATION,18970320-192-72551351 (1 of 1).txt,PENRICE,SA,-34.48162207,139.04368630000002,71
127,ENGLEHAWK,LOCATION,18840119-240-84701747 (2 of 3).txt,EAGLEHAWK,VIC,-36.72405858,144.25827560000002,89
128,BERRIMNA,LOCATION,18840119-240-84701747 (2 of 3).txt,BERRIMA,NSW,-34.47472967,150.330976,86
129,BEORAL,LOCATION,18840119-240-84701747 (2 of 3).txt,BOORAL,QLD,-25.34543888,152.8641983,83
130,NOSSVALE,LOCATION,18840119-240-84701747 (2 of 3).txt,ROSSVALE,QLD,-27.62971883,151.5967664,88
134,RUSSIA,LOCATION,18820328-185-200668998 (1 of 2).txt,ROSSI,NSW,-35.46983882,149.50956169999998,80
135,MURRAY,LOCATION,18820328-185-200668998 (1 of 2).txt,MARRAH,WA,-28.44742207,114.95568359999999,67
142,GECLONG,LOCATION,18550210-170-65718847 (1 of 2).txt,BELCONG,QLD,-23.11367702,148.1559515,77
144,MAITLAUD,LOCATION,18720115-67-60880075 (2 of 2).txt,MAITLAND,SA,-34.40080404,137.7383771,88
155,LOME,LOCATION,18810704-1052-212695602 (1 of 1).txt,NOME,QLD,-19.37712019,146.9248368,75
158,LAI LAI,LOCATION,18881228-185-209452794 (3 of 3).txt,LAL LAL,VIC,-37.669529,144.029043,71
159,BALLARAT,LOCATION,18881228-185-209452794 (3 of 3).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
161,MARONGO,LOCATION,18720103-366-100871762 (1 of 2).txt,MARENGO,NSW,-30.20335991,152.3793701,86
162,EUROLA,LOCATION,18720103-366-100871762 (1 of 2).txt,EUROKA,NSW,-31.07562809,152.8126709,83
163,FORBOES,LOCATION,18720103-366-100871762 (1 of 2).txt,FORBES,NSW,-33.38547409,148.01144509999997,83
170,MAROOTA,LOCATION,18971204-192-72553595 (2 of 2).txt,BAROOTA,SA,-32.93192078,138.0189992,86
171,CAPE,LOCATION,18710610-698-164372088 (1 of 3).txt,COPE,NSW,-32.29757807,149.63366240000002,75
172,ALBURY,LOCATION,18820310-185-200667983 (1 of 1).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
179,BARRATA,LOCATION,18641224-287-92260907 (1 of 1).txt,BARGARA,QLD,-24.82172896,152.44321619999997,71
180,BAROGA,LOCATION,18641224-287-92260907 (1 of 1).txt,BAROOGA,NSW,-35.92147427,145.7344753,83
181,BIDDELL,LOCATION,18650325-103-63169589 (3 of 22).txt,BIDWILL,QLD,-25.63979018,152.69794869999998,71
182,CARDIGAN,LOCATION,18650325-103-63169589 (3 of 22).txt,BARIGAN,NSW,-32.51266711,149.9824445,86
185,WOODOED,LOCATION,18750126-74-52897349 (3 of 4).txt,WOODEND,QLD,-27.59871257,152.75167390000001,86
186,LOME,LOCATION,18810625-1052-212692879 (1 of 1).txt,NOME,QLD,-19.37712019,146.9248368,75
189,BOYAL,LOCATION,18790114-185-199347171 (1 of 1).txt,BOKAL,WA,-33.41075727,116.8768545,80
193,WHITE GUM,LOCATION,18790221-582-198858338 (5 of 5).txt,WHITE HUT,SA,-35.051587700000006,137.0348435,78
195,EGERTON,LOCATION,18790131-185-199347622 (4 of 5).txt,EVERTON,VIC,-36.43403454,146.53228169999997,86
198,PINEHURST,LOCATION,18881120-8-18966369 (1 of 1).txt,PENSHURST,VIC,-37.84371314,142.2876373,78
202,WOORAGEE,LOCATION,18991227-34-29525093 (4 of 5).txt,WOORREE,WA,-28.77246443,114.65405190000001,71
203,FIRST CREEK,LOCATION,18991227-34-29525093 (4 of 5).txt,FISH CREEK,VIC,-38.78342204,146.0381963,80
208,GRAFTON,LOCATION,18890119-52-71114066 (2 of 2).txt,GRANTON,TAS,-42.76587796,147.2196843,86
209,GRAFTON,LOCATION,18890119-52-71114066 (2 of 2).txt,GRANTON,TAS,-42.76587796,147.2196843,86
217,GARDEN,LOCATION,18680111-42-20316878 (2 of 3).txt,GORDON,NSW,-33.75210643,151.1553033,67
218,ECHNCA,LOCATION,18650318-103-63170016 (8 of 23).txt,ECHUNGA,SA,-35.08763576,138.7915699,67
225,RICHMOSD,LOCATION,18860112-346-88538228 (1 of 1).txt,RICHMOND,SA,-34.94201162,138.5672635,88
229,BLANOY,LOCATION,18820125-185-200665460 (1 of 1).txt,BLAND,NSW,-33.99803741,147.6103388,80
232,KERANG,LOCATION,18810111-346-88641462 (1 of 1).txt,NERANG,QLD,-27.99231118,153.3369929,83
234,GREENDALE,LOCATION,18890202-246-89685363 (3 of 3).txt,GREENVALE,QLD,-19.20007668,145.44082450000002,89
235,GREENDALE,LOCATION,18890202-246-89685363 (3 of 3).txt,GREENVALE,QLD,-19.20007668,145.44082450000002,89
236,GREENDALE,LOCATION,18890202-246-89685363 (3 of 3).txt,GREENVALE,QLD,-19.20007668,145.44082450000002,89
237,ORFORD,LOCATION,18960208-621-221175349 (1 of 4).txt,OTFORD,NSW,-34.21148257,150.995503,83
239,MOUNT HOPE,LOCATION,18931221-8-19029758 (1 of 1).txt,MOUNT COLE,VIC,-37.26006379,143.1697305,80
240,SMYTHESILALE,LOCATION,18690109-185-112882427 (1 of 2).txt,SMYTHESDALE,VIC,-37.6427433,143.702877,82
241,BROOKONG,LOCATION,18851205-698-162818555 (1 of 1).txt,BROOKTON,WA,-32.42961614,116.90474409999999,88
243,HNWERA,LOCATION,18980119-367-114429395 (2 of 2).txt,UNDERA,VIC,-36.31876986,145.2230052,67
244,BALLAUCE,LOCATION,18980119-367-114429395 (2 of 2).txt,WALLACE,VIC,-37.55676205,144.0351559,86
248,GERMANTON,LOCATION,18880120-436-254575473 (1 of 2).txt,GRANTON,TAS,-42.76587796,147.2196843,86
253,HILLFLTON,LOCATION,18950210-699-167958956 (1 of 1).txt,HILLSTON,NSW,-33.62669943,145.6384434,75
258,CANAAN,LOCATION,18551126-35-12975196 (2 of 7).txt,CANINA,QLD,-26.14956665,152.73770480000002,67
263,STONEY,LOCATION,18580130-809-154856828 (3 of 3).txt,STEPNEY,SA,-34.91271983,138.627473,67
268,BALLARAT,LOCATION,18650302-74-38658298 (3 of 6).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
269,MLELBOURNE,LOCATION,18650302-74-38658298 (3 of 6).txt,SHELBOURNE,VIC,-36.88399111,144.0136977,80
270,BALLARAT,LOCATION,18650302-74-38658298 (3 of 6).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
272,DAYLESFORD,LOCATION,18650302-74-38658298 (3 of 6).txt,DALYSFORD,QLD,-25.03210932,151.8804799,78
274,RUSSIA,LOCATION,18911228-1190-241558177 (1 of 1).txt,ROSSI,NSW,-35.46983882,149.50956169999998,80
277,AUCKLAND,LOCATION,18751215-902-217833638 (1 of 1).txt,BUCKLAND,QLD,-24.51798909,147.7493236,88
278,CANADA,LOCATION,18360123-95-32150577 (1 of 1).txt,CANAGA,QLD,-26.68844382,150.95352319999998,83
279,DAYLESFORD,LOCATION,18650306-13-5736665 (1 of 1).txt,DALYSFORD,QLD,-25.03210932,151.8804799,78
283,BAY,LOCATION,18980118-185-215788343 (1 of 3).txt,HAY,NSW,-34.49820018,144.8313915,67
286,GOODNA,LOCATION,18761114-377-121926361 (2 of 2).txt,GOODAR,QLD,-28.19255017,150.1017376,83
287,LOME,LOCATION,18810520-1052-208565326 (1 of 1).txt,NOME,QLD,-19.37712019,146.9248368,75
290,ALBURY,LOCATION,18840223-326-198970533 (1 of 2).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
291,ALBURY,LOCATION,18840223-326-198970533 (1 of 2).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
292,ALBURY,LOCATION,18840223-326-198970533 (1 of 2).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
293,LOME,LOCATION,18810709-1052-212694924 (1 of 1).txt,NOME,QLD,-19.37712019,146.9248368,75
295,KIAMA,LOCATION,18911218-367-103154510 (1 of 1).txt,KIOMA,QLD,-28.19692831,149.8305796,80
298,PICTON,LOCATION,18840125-311-115070634 (1 of 1).txt,WILTON,NSW,-34.24531162,150.6991925,67
302,BALLARAT,LOCATION,18860108-1297-237242783 (4 of 12).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
303,BALLARAT,LOCATION,18860108-1297-237242783 (4 of 12).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
304,BALLARAT,LOCATION,18860108-1297-237242783 (4 of 12).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
305,EUROPE,LOCATION,18780112-276-77560528 (1 of 2).txt,EUROKA,NSW,-31.07562809,152.8126709,67
310,ALBURY,LOCATION,18931223-52-71193207 (8 of 19).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
314,BREWER,LOCATION,18541223-8-696233 (3 of 5).txt,PREMER,NSW,-31.47383069,149.9240253,67
315,HEYTESBURY,LOCATION,18860109-43-22096812 (1 of 2).txt,EYNESBURY,VIC,-37.78914543,144.5669919,89
317,PEAKHURST,LOCATION,18990324-35-14206064 (4 of 4).txt,PENSHURST,NSW,-33.95824642,151.08285569999998,78
320,CANDAGO,LOCATION,18960108-53-44174286 (3 of 3).txt,CANDELO,NSW,-36.76365379,149.69284030000003,71
321,BOMBALA,LOCATION,18960108-53-44174286 (3 of 3).txt,BOMBIRA,NSW,-32.57864331,149.6011311,71
323,ALBURY,LOCATION,18881215-698-161890507 (1 of 3).txt,AUBURN,QLD,-26.13030279,150.65171940000002,67
325,MURRAS,LOCATION,18881215-698-161890507 (1 of 3).txt,MARRAH,WA,-28.44742207,114.95568359999999,67
326,BALLARAT,LOCATION,18820128-41-47109026 (1 of 1).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
331,GLENELG,LOCATION,18820225-289-91291840 (4 of 4).txt,GLENELLA,QLD,-21.11354031,149.1411115,86
333,BULLAROOP,LOCATION,18620303-67-60509178 (3 of 5).txt,BULLARTO,VIC,-37.409614399999995,144.2145303,88
334,CAI'LTON,LOCATION,18911230-180-69701492 (1 of 2).txt,RAILTON,TAS,-41.32868167,146.4236466,86
335,BULLAROOK,LOCATION,18620303-67-60509178 (3 of 5).txt,TALLAROOK,VIC,-37.09850405,145.08899430000002,78
338,WOOLLAHRA,LOCATION,18950831-64-61272860 (1 of 2).txt,WOOLLAMIA,NSW,-35.00141919,150.62214719999997,78
340,ECHUNGA,LOCATION,18971230-1530-256758674 (2 of 2).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,67
343,GRAFTON,LOCATION,18950903-225-75262366 (3 of 6).txt,GRANTON,TAS,-42.76587796,147.2196843,86
344,GRAFTON,LOCATION,18950903-225-75262366 (3 of 6).txt,GRANTON,TAS,-42.76587796,147.2196843,86
347,LAMBTON,LOCATION,18871105-698-165220989 (1 of 2).txt,HAMPTON,NSW,-33.61501385,150.050737,71
351,RLOOKWOOD,LOCATION,18840117-367-103507189 (1 of 1).txt,LOCKWOOD,VIC,-36.80861334,144.2150196,88
352,GRANVILLO,LOCATION,18840117-367-103507189 (1 of 1).txt,GRANVILLE,QLD,-25.54171444,152.7153829,89
355,HOBART,LOCATION,18970226-10-9392247 (1 of 3).txt,MOZART,NSW,-33.81371456,149.8605201,67
360,GANGES,LOCATION,18620301-821-158185661 (1 of 1).txt,NANGUS,NSW,-35.05324864,147.90575680000003,67
366,SURREY,LOCATION,18871216-436-254572753 (1 of 1).txt,AUBREY,VIC,-36.2409666,142.23872580000003,67
369,HEATHCOTO,LOCATION,18790306-239-91838275 (1 of 1).txt,HEATHCOTE,NSW,-34.07405071,151.00515380000002,89
371,ECHUNGA,LOCATION,18930217-714-147625174 (1 of 1).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,67
379,NOUMEA,LOCATION,18871119-582-198932185 (1 of 1).txt,NEUREA,NSW,-32.69512208,148.9817774,67
385,MACARTBNR,LOCATION,18770206-567-226041293 (2 of 2).txt,MACARTHUR,VIC,-38.01007573,141.9668931,78
387,NEWCASTLE,LOCATION,18800115-185-199822571 (1 of 1).txt,REDCASTLE,VIC,-36.792336299999995,144.78582509999998,78
390,ORANGE,LOCATION,18780209-436-257956667 (1 of 2).txt,GRANGE,SA,-34.90651166,138.50540959999998,83
391,FRETHANTLE,LOCATION,18790321-70-60096643 (2 of 2).txt,FREEMANTLE,NSW,-33.26067253,149.3708808,80
392,GAMBIER,LOCATION,18790321-70-60096643 (2 of 2).txt,DAMPIER,WA,-20.6647772,116.714079,71
399,MOMALONG,LOCATION,18871224-621-221195243 (1 of 1).txt,MEMAGONG,NSW,-34.30151434,148.1706565,75
400,HAREWOOD,LOCATION,18920123-701-145529038 (5 of 5).txt,HARTWOOD,NSW,-35.40098905,145.35309980000002,88
404,STRAAN,LOCATION,18800203-558-150413886 (3 of 3).txt,STRUAN,SA,-37.08739172,140.781881,83
407,COLAC,LOCATION,18790221-582-198858338 (1 of 5).txt,COOLAC,NSW,-34.94483834,148.1698419,80
408,HEYTESBURY,LOCATION,18860108-185-206305929 (1 of 2).txt,EYNESBURY,VIC,-37.78914543,144.5669919,89
414,WELLINGTON,LOCATION,18940127-460-138113288 (1 of 1).txt,CALLINGTON,SA,-35.13378758,139.0428483,80
415,LOME,LOCATION,18810510-1052-208564450 (1 of 1).txt,NOME,QLD,-19.37712019,146.9248368,75
416,COLAC,LOCATION,18790208-232-232166345 (4 of 7).txt,COOLAC,NSW,-34.94483834,148.1698419,80
417,EGERTON,LOCATION,18790208-232-232166345 (4 of 7).txt,EVERTON,VIC,-36.43403454,146.53228169999997,86
420,URANA,LOCATION,18941128-367-100444975 (1 of 3).txt,URANIA,SA,-34.50470963,137.5950097,80
423,OURLEWIS,LOCATION,18790207-232-232166309 (2 of 3).txt,CURLEWIS,VIC,-38.18338168,144.5126377,88
425,WALGETT,LOCATION,18740110-382-145058744 (1 of 1).txt,DALGETY,NSW,-36.47697891,148.8500323,71
427,GLENELG,LOCATION,18840112-966-197788771 (1 of 1).txt,GLENELLA,QLD,-21.11354031,149.1411115,86
430,ECHUNGA,LOCATION,18830127-41-43474759 (2 of 2).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,67
431,BCBNCA,LOCATION,18650302-1324-240653748 (3 of 6).txt,BANCA,TAS,-41.03796714,147.8225475,80
432,GAORNOOG,LOCATION,18650302-1324-240653748 (3 of 6).txt,GOORNONG,VIC,-36.62280943,144.51912219999997,75
436,LILYDALE,LOCATION,18940126-250-252181664 (2 of 2).txt,LILYVALE,NSW,-34.19332036,151.001026,88
437,LILYDALE,LOCATION,18940126-250-252181664 (2 of 2).txt,LILYVALE,NSW,-34.19332036,151.001026,88
439,KERANG,LOCATION,18921229-346-88607680 (2 of 2).txt,NERANG,QLD,-27.99231118,153.3369929,83
441,PORTLAND,LOCATION,18490224-14-3708791 (1 of 1).txt,PENTLAND,QLD,-21.78924202,145.9321506,75
443,PORTLAND,LOCATION,18490224-14-3708791 (1 of 1).txt,PENTLAND,QLD,-21.78924202,145.9321506,75
444,PORTLAND,LOCATION,18490224-14-3708791 (1 of 1).txt,PENTLAND,QLD,-21.78924202,145.9321506,75
449,BCRTHONG,LOCATION,18910106-1297-235892267 (11 of 14).txt,BERTHONG,NSW,-34.39861781,148.0903979,88
451,BRANSTON,LOCATION,18751106-821-159483753 (1 of 2).txt,BRAUNSTONE,NSW,-29.80585529,152.9298511,88
456,GLENELG,LOCATION,18731217-1093-208170300 (3 of 3).txt,GLENELLA,QLD,-21.11354031,149.1411115,86
460,YARRA,LOCATION,18910210-356-141011919 (1 of 2).txt,YERRA,QLD,-25.62718262,152.5210705,80
461,CAPE,LOCATION,18611213-558-149720621 (1 of 2).txt,COPE,NSW,-32.29757807,149.63366240000002,75
463,BERLIN,LOCATION,18910124-960-198217745 (1 of 1).txt,BARLIL,QLD,-26.18533642,151.88547880000002,67
476,KORTHAM,LOCATION,18771024-180-66302082 (1 of 1).txt,KIRKHAM,NSW,-34.03516888,150.7066552,71
477,MILONG,LOCATION,18920109-698-162182546 (9 of 9).txt,MILANG,SA,-35.39982996,138.9658556,83
483,BRANXHOBNE,LOCATION,18770127-567-226041525 (2 of 2).txt,BRANXHOLME,VIC,-37.8793054,141.80855060000002,80
484,BOURKC,LOCATION,18790205-1190-246227056 (1 of 1).txt,BOURKE,NSW,-30.03547436,145.89743380000002,83
494,COLAC,LOCATION,18830125-966-197781124 (1 of 1).txt,COOLAC,NSW,-34.94483834,148.1698419,80
499,CALCUTTA,LOCATION,18490131-181-65738644 (1 of 1).txt,BALCATTA,WA,-31.86021982,115.8060124,75
506,COLOMBO,LOCATION,18941130-1093-209044406 (1 of 1).txt,CALOMBA,SA,-34.38298934,138.404134,71
507,COLOMBO,LOCATION,18941130-1093-209044406 (1 of 1).txt,CALOMBA,SA,-34.38298934,138.404134,71
509,CAPEMBA,LOCATION,18981114-840-174330041 (2 of 2).txt,CALOMBA,SA,-34.38298934,138.404134,71
512,FOROE,LOCATION,18910110-698-163657874 (11 of 12).txt,FORDE,ACT,-35.17244843,149.1403806,80
513,WIDGEWA,LOCATION,18910110-698-163657874 (11 of 12).txt,CUDGEWA,VIC,-36.20190798,147.7851105,71
515,BALLARAT,LOCATION,18790211-109-63341688 (3 of 9).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
516,COLAC,LOCATION,18790211-109-63341688 (3 of 9).txt,COOLAC,NSW,-34.94483834,148.1698419,80
519,KYNETON,LOCATION,18650301-13-5739044 (4 of 12).txt,KEYNETON,SA,-34.6205037,139.1051959,86
520,COLLINA,LOCATION,18880818-101-32713914 (1 of 1).txt,COLLIE,WA,-33.34330547,116.1400187,83
521,FOOCHOW,LOCATION,18880818-101-32713914 (1 of 1).txt,FOXHOW,VIC,-38.05817601,143.42956840000002,67
523,BARCOO,LOCATION,18760304-16-1398178 (1 of 1).txt,BAGNOO,NSW,-31.48304154,152.5268936,67
525,NEWCASTLE,LOCATION,18950125-180-66260082 (2 of 2).txt,REDCASTLE,VIC,-36.792336299999995,144.78582509999998,78
526,LEICESTER,LOCATION,18920916-436-254570365 (1 of 1).txt,LEYCESTER,NSW,-28.78284481,153.1962825,89
527,AVALOIR,LOCATION,18920916-436-254570365 (1 of 1).txt,AVALON,VIC,-38.0542533,144.427661,83
528,COONONG,LOCATION,18920916-436-254570365 (1 of 1).txt,COORONG,SA,-36.05878778,139.5912048,86
534,MCLHOURNE,LOCATION,18650303-10-8831426 (2 of 6).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,78
535,BALLARAT,LOCATION,18650303-10-8831426 (2 of 6).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
537,BALLARAT,LOCATION,18650303-10-8831426 (2 of 6).txt,BELLARA,QLD,-27.059337300000003,153.15314080000002,86
539,MYNSMYN,LOCATION,18911116-109-65388745 (2 of 2).txt,MYAMYN,VIC,-37.99656945,141.73762390000002,67
540,KIRKDALE,LOCATION,18731206-946-198911112 (2 of 5).txt,BIRKDALE,QLD,-27.49912726,153.21142769999997,88
553,PENRITH,LOCATION,18980108-350-101307772 (2 of 5).txt,PENRICE,SA,-34.48162207,139.04368630000002,71
554,WALLGROVE,LOCATION,18980108-350-101307772 (2 of 5).txt,HILLGROVE,NSW,-30.54236499,151.8942948,78
556,BLAOKTOWN,LOCATION,18980108-350-101307772 (2 of 5).txt,BLACKTOWN,NSW,-33.78414814,150.92061759999999,89
557,RIOHMOND,LOCATION,18980108-350-101307772 (2 of 5).txt,RICHMOND,SA,-34.94201162,138.5672635,88
558,PENRITH,LOCATION,18980108-350-101307772 (2 of 5).txt,PENRICE,SA,-34.48162207,139.04368630000002,71
559,EOPE,LOCATION,18980108-350-101307772 (2 of 5).txt,COPE,NSW,-32.29757807,149.63366240000002,75
561,NEWCASTLE,LOCATION,18840125-1093-208270637 (1 of 2).txt,REDCASTLE,VIC,-36.792336299999995,144.78582509999998,78
564,ASHLEY,LOCATION,18641210-189-66350383 (1 of 1).txt,ASPLEY,QLD,-27.36959235,153.0082755,83
566,FRANKSTON,LOCATION,18910218-208-70398726 (1 of 1).txt,FRANKTON,SA,-34.31681062,139.2015375,88
567,CARRUM,LOCATION,18910218-208-70398726 (1 of 1).txt,CARDUP,WA,-32.24635414,115.98885159999999,67
572,COONAMBLO,LOCATION,18881227-1178-228423007 (1 of 1).txt,COONAMBULA,QLD,-25.60653764,151.1888581,89
573,CNMBERWOLL,LOCATION,18881227-1178-228423007 (1 of 1).txt,CAMBERWELL,VIC,-37.831616,145.056802,80
575,MELBOURNO,LOCATION,18881227-1178-228423007 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,89
580,BUNINYOOG,LOCATION,18980120-185-215788470 (3 of 3).txt,BUNINYONG,VIC,-37.6525178,143.9015842,89
584,MUDGEE,LOCATION,18820110-1093-208253766 (2 of 2).txt,BUDGEE,QLD,-27.80289538,152.0069916,83
587,ANAMBAB,LOCATION,18970227-493-126322656 (3 of 3).txt,ANAMBAH,NSW,-32.69058155,151.50356340000002,86
588,MOUNT WILSON,LOCATION,18870307-558-150396128 (1 of 1).txt,POINT WILSON,VIC,-38.08838268,144.51126200000002,83
590,LLOTHAM,LOCATION,18870307-558-150396128 (1 of 1).txt,ELTHAM,NSW,-28.76453891,153.3862384,83
592,GRUBBIN,LOCATION,18650201-366-100827519 (1 of 1).txt,GABBIN,WA,-30.73224535,117.6388385,67
603,DOVETOA,LOCATION,18820209-232-249291702 (1 of 1).txt,DOVETON,VIC,-37.9905,145.248848,86
608,CLTFTON,LOCATION,18960114-35-14033182 (4 of 14).txt,CLIFTON,QLD,-27.94821758,151.9381794,86
613,GINGITI,LOCATION,18760210-8-18803229 (1 of 1).txt,JINGILI,NT,-12.389047,130.876731,71
614,BYNYA,LOCATION,18760210-8-18803229 (1 of 1).txt,BUNYA,QLD,-27.37003567,152.9260744,80
615,CARDIGAN,LOCATION,18650301-185-112885071 (1 of 8).txt,BARIGAN,NSW,-32.51266711,149.9824445,86
616,COLAC,LOCATION,18790208-13-5931642 (2 of 3).txt,COOLAC,NSW,-34.94483834,148.1698419,80
618,COLAC,LOCATION,18790208-13-5931642 (2 of 3).txt,COOLAC,NSW,-34.94483834,148.1698419,80
